key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2025搜索,助手随机1k,133,9,9998,998,1.33,0.902,-0.428,-0.92,0.401,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2025搜索,助手随机1k,794,78,9998,998,7.942,7.816,-0.126,-1.73,1.777,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2025搜索,助手语音1k,1856,84,9998,1000,18.564,8.4,-10.164,-11.909,-8.137,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2025搜索,助手语音1k,187,12,9998,1000,1.87,1.2,-0.67,-1.256,0.249,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2025搜索,助手语音1k,162,31,9998,1000,1.62,3.1,1.48,0.534,2.767,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2025搜索,助手语音1k,552,21,9998,1000,5.521,2.1,-3.421,-4.28,-2.25,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2025搜索,助手语音1k,666,18,9998,1000,6.661,1.8,-4.861,-5.691,-3.731,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2025搜索,助手语音1k,102,14,9998,1000,1.02,1.4,0.38,-0.225,1.333,False,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2025搜索,助手语音1k,1239,39,9998,1000,12.392,3.9,-8.492,-9.719,-6.969,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2025搜索,助手语音1k,41,16,9998,1000,0.41,1.6,1.19,0.56,2.179,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2025搜索,助手语音1k,295,260,9998,1000,2.951,26.0,23.049,20.403,25.874,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2025搜索,助手语音1k,68,6,9998,1000,0.68,0.6,-0.08,-0.452,0.637,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2025搜索,助手语音1k,1587,81,9998,1000,15.873,8.1,-7.773,-9.473,-5.789,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2025搜索,助手语音1k,128,4,9998,1000,1.28,0.4,-0.88,-1.223,-0.224,True,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2025搜索,助手语音1k,151,33,9998,1000,1.51,3.3,1.79,0.814,3.107,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2025搜索,助手语音1k,438,147,9998,1000,4.381,14.7,10.319,8.217,12.68,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2025搜索,助手语音1k,428,36,9998,1000,4.281,3.6,-0.681,-1.753,0.715,False,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2025搜索,助手语音1k,113,10,9998,1000,1.13,1.0,-0.13,-0.639,0.722,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2025搜索,助手语音1k,993,112,9998,1000,9.932,11.2,1.268,-0.638,3.449,False,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2025搜索,助手语音1k,65,8,9998,1000,0.65,0.8,0.15,-0.282,0.933,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2025搜索,助手语音1k,133,7,9998,1000,1.33,0.7,-0.63,-1.066,0.136,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2025搜索,助手语音1k,794,61,9998,1000,7.942,6.1,-1.842,-3.272,-0.106,True,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2026搜索,助手头部1k,1132,212,9998,958,11.322,22.129,10.807,8.214,13.611,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2026搜索,助手头部1k,168,18,9998,958,1.68,1.879,0.199,-0.54,1.295,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2026搜索,助手头部1k,166,73,9998,958,1.66,7.62,5.96,4.42,7.829,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2026搜索,助手头部1k,564,21,9998,958,5.641,2.192,-3.449,-4.337,-2.233,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2026搜索,助手头部1k,683,54,9998,958,6.831,5.637,-1.195,-2.583,0.519,False,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2026搜索,助手头部1k,152,3,9998,958,1.52,0.313,-1.207,-1.539,-0.564,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2026搜索,助手头部1k,1659,34,9998,958,16.593,3.549,-13.044,-14.288,-11.499,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2026搜索,助手头部1k,40,2,9998,958,0.4,0.209,-0.191,-0.4,0.368,False,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2026搜索,助手头部1k,374,30,9998,958,3.741,3.132,-0.609,-1.617,0.742,False,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2026搜索,助手头部1k,73,4,9998,958,0.73,0.418,-0.313,-0.629,0.355,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2026搜索,助手头部1k,1768,157,9998,958,17.684,16.388,-1.295,-3.631,1.289,False,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2026搜索,助手头部1k,135,13,9998,958,1.35,1.357,0.007,-0.607,0.98,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2026搜索,助手头部1k,151,3,9998,958,1.51,0.313,-1.197,-1.528,-0.554,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2026搜索,助手头部1k,455,170,9998,958,4.551,17.745,13.194,10.866,15.771,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2026搜索,助手头部1k,372,15,9998,958,3.721,1.566,-2.155,-2.882,-1.093,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2026搜索,助手头部1k,127,8,9998,958,1.27,0.835,-0.435,-0.911,0.394,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2026搜索,助手头部1k,911,48,9998,958,9.112,5.01,-4.101,-5.444,-2.438,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2026搜索,助手头部1k,65,8,9998,958,0.65,0.835,0.185,-0.263,1.001,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2026搜索,助手头部1k,226,6,9998,958,2.26,0.626,-1.634,-2.094,-0.851,True,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2026搜索,助手头部1k,777,79,9998,958,7.772,8.246,0.475,-1.195,2.454,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2026搜索,助手随机1k,1132,40,9998,998,11.322,4.008,-7.314,-8.543,-5.785,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2026搜索,助手随机1k,168,38,9998,998,1.68,3.808,2.127,1.071,3.522,True,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2026搜索,助手随机1k,166,42,9998,998,1.66,4.208,2.548,1.435,3.998,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2026搜索,助手随机1k,564,25,9998,998,5.641,2.505,-3.136,-4.066,-1.891,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2026搜索,助手随机1k,683,18,9998,998,6.831,1.804,-5.028,-5.862,-3.893,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2026搜索,助手随机1k,152,22,9998,998,1.52,2.204,0.684,-0.104,1.817,False,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2026搜索,助手随机1k,1659,32,9998,998,16.593,3.206,-13.387,-14.574,-11.916,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2026搜索,助手随机1k,40,47,9998,998,0.4,4.709,4.309,3.151,5.81,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2026搜索,助手随机1k,374,188,9998,998,3.741,18.838,15.097,12.759,17.665,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2026搜索,助手随机1k,73,12,9998,998,0.73,1.202,0.472,-0.074,1.372,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2026搜索,助手随机1k,1768,42,9998,998,17.684,4.208,-13.475,-14.796,-11.866,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2026搜索,助手随机1k,135,7,9998,998,1.35,0.701,-0.649,-1.086,0.119,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2026搜索,助手随机1k,151,25,9998,998,1.51,2.505,0.995,0.152,2.182,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2026搜索,助手随机1k,455,195,9998,998,4.551,19.539,14.988,12.608,17.593,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2026搜索,助手随机1k,372,58,9998,998,3.721,5.812,2.091,0.744,3.757,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2026搜索,助手随机1k,127,27,9998,998,1.27,2.705,1.435,0.562,2.654,True,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2026搜索,助手随机1k,911,87,9998,998,9.112,8.717,-0.394,-2.092,1.595,False,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2026搜索,助手随机1k,65,6,9998,998,0.65,0.601,-0.049,-0.42,0.669,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2026搜索,助手随机1k,226,9,9998,998,2.26,0.902,-1.359,-1.886,-0.51,True,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2026搜索,助手随机1k,777,78,9998,998,7.772,7.816,0.044,-1.558,1.945,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2026搜索,助手语音1k,1132,84,9998,1000,11.322,8.4,-2.922,-4.611,-0.945,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2026搜索,助手语音1k,168,12,9998,1000,1.68,1.2,-0.48,-1.06,0.436,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2026搜索,助手语音1k,166,31,9998,1000,1.66,3.1,1.44,0.493,2.727,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2026搜索,助手语音1k,564,21,9998,1000,5.641,2.1,-3.541,-4.403,-2.368,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2026搜索,助手语音1k,683,18,9998,1000,6.831,1.8,-5.031,-5.865,-3.898,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2026搜索,助手语音1k,152,14,9998,1000,1.52,1.4,-0.12,-0.741,0.842,False,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2026搜索,助手语音1k,1659,39,9998,1000,16.593,3.9,-12.693,-13.966,-11.132,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2026搜索,助手语音1k,40,16,9998,1000,0.4,1.6,1.2,0.57,2.189,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2026搜索,助手语音1k,374,260,9998,1000,3.741,26.0,22.259,19.607,25.088,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2026搜索,助手语音1k,73,6,9998,1000,0.73,0.6,-0.13,-0.505,0.588,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2026搜索,助手语音1k,1768,81,9998,1000,17.684,8.1,-9.584,-11.297,-7.587,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2026搜索,助手语音1k,135,4,9998,1000,1.35,0.4,-0.95,-1.297,-0.292,True,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2026搜索,助手语音1k,151,33,9998,1000,1.51,3.3,1.79,0.814,3.107,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2026搜索,助手语音1k,455,147,9998,1000,4.551,14.7,10.149,8.046,12.512,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2026搜索,助手语音1k,372,36,9998,1000,3.721,3.6,-0.121,-1.183,1.269,False,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2026搜索,助手语音1k,127,10,9998,1000,1.27,1.0,-0.27,-0.785,0.585,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2026搜索,助手语音1k,911,112,9998,1000,9.112,11.2,2.088,0.189,4.263,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2026搜索,助手语音1k,65,8,9998,1000,0.65,0.8,0.15,-0.282,0.933,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2026搜索,助手语音1k,226,7,9998,1000,2.26,0.7,-1.56,-2.036,-0.774,True,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2026搜索,助手语音1k,777,61,9998,1000,7.772,6.1,-1.672,-3.1,0.063,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,助手头部1k,助手随机1k,212,40,958,998,22.129,4.008,-18.121,-21.053,-15.242,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,助手头部1k,助手随机1k,18,38,958,998,1.879,3.808,1.929,0.449,3.466,True,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,助手头部1k,助手随机1k,73,42,958,998,7.62,4.208,-3.412,-5.558,-1.327,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,助手头部1k,助手随机1k,21,25,958,998,2.192,2.505,0.313,-1.078,1.702,False,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,助手头部1k,助手随机1k,54,18,958,998,5.637,1.804,-3.833,-5.606,-2.182,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,助手头部1k,助手随机1k,3,22,958,998,0.313,2.204,1.891,0.933,3.021,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,助手头部1k,助手随机1k,34,32,958,998,3.549,3.206,-0.343,-1.996,1.285,False,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,助手头部1k,助手随机1k,2,47,958,998,0.209,4.709,4.501,3.227,6.005,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,助手头部1k,助手随机1k,30,188,958,998,3.132,18.838,15.706,13.058,18.414,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,助手头部1k,助手随机1k,4,12,958,998,0.418,1.202,0.785,-0.044,1.708,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,助手头部1k,助手随机1k,157,42,958,998,16.388,4.208,-12.18,-14.883,-9.548,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,助手头部1k,助手随机1k,13,7,958,998,1.357,0.701,-0.656,-1.673,0.273,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,助手头部1k,助手随机1k,3,25,958,998,0.313,2.505,2.192,1.188,3.377,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,助手头部1k,助手随机1k,170,195,958,998,17.745,19.539,1.794,-1.666,5.239,False,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,助手头部1k,助手随机1k,15,58,958,998,1.566,5.812,4.246,2.613,5.986,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,助手头部1k,助手随机1k,8,27,958,998,0.835,2.705,1.87,0.708,3.141,True,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,助手头部1k,助手随机1k,48,87,958,998,5.01,8.717,3.707,1.468,5.97,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,助手头部1k,助手随机1k,8,6,958,998,0.835,0.601,-0.234,-1.101,0.582,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,助手头部1k,助手随机1k,6,9,958,998,0.626,0.902,0.275,-0.573,1.147,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,助手头部1k,助手随机1k,79,78,958,998,8.246,7.816,-0.431,-2.867,1.988,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,助手头部1k,助手语音1k,212,84,958,1000,22.129,8.4,-13.729,-16.882,-10.588,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,助手头部1k,助手语音1k,18,12,958,1000,1.879,1.2,-0.679,-1.867,0.442,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,助手头部1k,助手语音1k,73,31,958,1000,7.62,3.1,-4.52,-6.585,-2.545,True,共有
