key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,用户已指名具体药品，询问如何服用、剂量、频次、疗程、漏服补服、停药或使用时机。,551,2.712,229,2.29,2.015,2.602,1.489,322,3.121,2.803,3.475,3.189,42.32,0.8443,0.8464,57.68,1.1509,1.1536,2,,,健康管家随机1w,传统搜索随机1w,0.831,1.36,11,9,药品用法与相互作用查询,57.0,是,0.05,收到与说明书一致的用法用量答复并说明以处方/说明书为准后，用户即满足。
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,用户将两个及以上药物、食物、概念或机构并列，询问它们的区别、是否一样、哪个更好，或仅以并列裸串暗示比较意图。,441,2.171,217,2.17,1.902,2.474,1.382,224,2.171,1.907,2.471,2.079,49.98,0.9997,0.9997,50.02,1.0003,1.0003,2,,,健康管家随机1w,传统搜索随机1w,0.001,1.0,12,12,药品用法与相互作用查询,27.7,否,0.02,收到同异、取舍结论或关键差异对比后，用户即满足。
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,用户就某个已完成的手术、损伤或治疗，询问多久能恢复正常活动、进食、上班或某些症状何时消失。,351,1.728,133,1.33,1.123,1.574,1.849,218,2.113,1.853,2.409,1.744,38.63,0.7698,0.7725,61.37,1.2231,1.2275,2,,,健康管家随机1w,传统搜索随机1w,0.783,1.59,14,13,医疗恢复与检查时间查询,59.3,否,0.01,收到该情形的典型恢复区间、个体差异因素和超期不愈警示后，用户即满足。
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,用户发出依赖上文的追问（如“有用吗”“怎么服用”）或要求识别所拍摄的药品、草药、检查单等实物，系统必须先知道或识别所指对象才能作答。,321,1.58,127,1.27,1.068,1.509,0.873,194,1.881,1.636,2.161,1.488,40.31,0.8038,0.8062,59.69,1.1902,1.1938,2,,,健康管家随机1w,传统搜索随机1w,0.611,1.48,15,14,查询食物营养与健康影响,10.9,否,0.005,收到对所指对象的识别或反问确认，或对追问给出基于上下文的答复后，用户即满足。
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,用户希望看到身体结构、穴位、手术或注射过程等图示、位置标注或视频，预期以图像或视频作答。,297,1.462,178,1.78,1.539,2.058,2.212,119,1.154,0.965,1.379,1.054,60.68,1.2176,1.2135,39.32,0.7891,0.7865,2,,,传统搜索随机1w,健康管家随机1w,0.626,1.54,13,15,查询骨科伤病诊疗与康复信息,51.5,否,0.01,收到标注清楚的图片、位置描述或视频后，用户即满足。
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,用户描述刚刚发生的意外（误吞异物、误服过量、动物咬伤、外伤、疑似心梗等）或急性严重症状，要求立即判断危险程度并给出当下处置和就医紧迫性。,125,0.615,59,0.59,0.458,0.76,4.331,66,0.64,0.503,0.813,0.634,47.98,0.9589,0.9595,52.02,1.0398,1.0405,2,,,健康管家随机1w,传统搜索随机1w,0.05,1.08,16,16,查询皮肤黏膜异常症状与处理建议,36.8,是,0.02,收到以就医紧迫性为先的分级处置建议后，用户即满足。
HEALTH_VALUE_CALCULATION,计算健康相关数值,用户要求代入自己的数据计算BMI、标准体重、食物热量、营养数值或单位换算，期望得到计算结果而非知识解释。,99,0.487,49,0.49,0.371,0.647,0.261,50,0.485,0.368,0.638,0.384,50.27,1.0055,1.0055,49.73,0.9946,0.9945,2,,,传统搜索随机1w,健康管家随机1w,0.005,1.01,17,18,查询食物营养与健康影响,55.6,否,0.005,收到代入其数据后的计算结果与单位后，用户即满足。
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,用户要求系统根据同房、月经或孕周时间推算排卵期、怀孕概率、预产期或何时能测出怀孕。,89,0.438,38,0.38,0.277,0.521,0.21,51,0.494,0.376,0.649,0.384,43.46,0.8674,0.8692,56.54,1.1285,1.1308,2,,,健康管家随机1w,传统搜索随机1w,0.114,1.3,18,17,解答月经避孕怀孕相关疑问,73.0,否,0.01,收到基于其时间点的时间窗推算或区间结果后，用户即满足。
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,用户询问某检查、手术或药物使用过程的痛感、伤口、感受或为什么会有某种体验，期待如实描述和心理准备而非医学处置。,58,0.285,31,0.31,0.218,0.44,0.163,27,0.262,0.18,0.381,0.214,54.22,1.0859,1.0844,45.78,0.9168,0.9156,2,,,传统搜索随机1w,健康管家随机1w,0.048,1.18,19,19,医疗恢复与检查时间查询,56.9,否,0.005,收到对该过程感受和实况的如实描述后，用户即满足。
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,用户在家用血糖仪、验孕棒、血压计等器械上自测，询问操作方法、故障排除、品牌比较或结果条带是否符合某种结论。,15,0.074,12,0.12,0.069,0.21,0.098,3,0.029,0.01,0.085,0.021,80.49,1.6253,1.6099,19.51,0.3939,0.3901,2,,,传统搜索随机1w,健康管家随机1w,0.091,4.13,20,20,血糖与糖尿病管理查询,33.3,是,0.005,收到操作或故障排查说明，或对该器械结果的家庭判读与下一步提示后，用户即满足。
