source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
assistant_top,查询中医方剂组成、经络穴位与中医理论,0,0,0,1,0,0,0,0,5,0,0,0,0
assistant_top,查询中药材/食材/茶饮的功效与作用,0,0,1,149,0,0,2,1,0,0,0,0,4
assistant_top,查询就医科室、医院/医生导航与挂号入口,5,19,7,2,4,28,0,8,0,0,0,0,0
assistant_top,查询指标的正常值或参考范围,0,0,12,0,0,0,0,0,1,0,0,0,0
assistant_top,查询疾病或医学术语的定义、病因与传染性,0,0,0,15,2,1,0,0,0,0,0,0,3
assistant_top,查询疾病的症状与早期征兆,0,0,0,47,0,0,0,0,6,0,0,0,1
assistant_top,查询药品用法用量与服用时机,0,0,0,0,0,0,0,0,0,0,0,0,3
assistant_top,查询药品的功效与作用,0,0,0,33,0,0,0,0,0,0,0,0,1
assistant_top,查询诊疗项目的费用、时长与恢复参数,0,0,17,1,0,0,0,0,0,0,0,0,0
assistant_top,由自述症状直接索取药品或药膏,0,0,0,0,0,0,7,0,0,0,0,0,1
assistant_top,获取食疗/养生方的做法与搭配,0,0,0,0,0,1,2,1,0,0,0,0,0
assistant_top,解读用户本人的检查数值或报告分级,0,0,0,8,0,0,4,0,0,0,0,0,3
assistant_top,解释自身症状的原因,0,1,0,38,0,1,6,0,0,0,0,0,2
assistant_top,评估疾病的严重程度、预后或时间预期,0,0,0,6,0,0,2,0,0,0,0,0,0
