key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
PERSON_TO_WORKS__1,PERSON_TO_WORKS__1,170,74,0.695,2.7,14.86,70,0.7504,0.0,5.71,11,0.5765,0.0,18.18,15,0.6489,13.33,6.67,2025搜索,0.0554,0.7061
SITE_PORTAL_NAV__1,SITE_PORTAL_NAV__1,537,254,0.7202,3.15,23.62,248,0.7319,2.82,20.56,27,0.6803,3.7,18.52,8,0.5662,0.0,25.0,助手头部1k,0.0516,0.7213
CLIP_QUOTE_DERIVATIVE__3,CLIP_QUOTE_DERIVATIVE__3,139,3,0.4093,33.33,33.33,1,0.7284,0.0,100.0,49,0.7821,2.04,4.08,86,0.7089,2.33,13.95,助手随机1k,0.0732,0.7284
SITE_PORTAL_NAV__2,SITE_PORTAL_NAV__2,105,48,0.7745,0.0,35.42,52,0.7687,1.92,55.77,4,0.6692,0.0,50.0,1,0.6556,0.0,0.0,2026搜索,0.0058,0.7665
CHANNEL_RESOURCE_ACCESS__2,CHANNEL_RESOURCE_ACCESS__2,177,3,0.6517,0.0,33.33,155,0.7806,0.0,50.32,11,0.8331,0.0,45.45,8,0.511,0.0,37.5,2026搜索,,0.7695
CHANNEL_RESOURCE_ACCESS__3,CHANNEL_RESOURCE_ACCESS__3,147,8,0.4912,12.5,12.5,131,0.7909,0.0,22.14,8,0.7792,0.0,62.5,0,,,,2026搜索,,0.774
APP_INSTALL_SUPPORT__1,APP_INSTALL_SUPPORT__1,237,134,0.7725,0.75,14.93,86,0.8052,0.0,15.12,9,0.779,0.0,11.11,8,0.671,0.0,0.0,2025搜索,0.0327,0.7812
BARE_TITLE_LOOKUP__5,BARE_TITLE_LOOKUP__5,720,249,0.7736,2.01,4.42,417,0.8076,0.96,2.64,42,0.7595,0.0,4.76,12,0.719,0.0,0.0,助手头部1k,0.0481,0.7916
CHANNEL_RESOURCE_ACCESS__1,CHANNEL_RESOURCE_ACCESS__1,11,0,,,,11,0.8014,0.0,45.45,0,,,,0,,,,,,0.8014
SITE_PORTAL_NAV__3,SITE_PORTAL_NAV__3,444,222,0.8185,0.45,21.62,200,0.8295,1.0,21.5,19,0.731,0.0,31.58,3,0.6563,0.0,0.0,2025搜索,0.011,0.8186
PLOT_SYNOPSIS_ENDING__1,PLOT_SYNOPSIS_ENDING__1,270,108,0.8376,0.93,4.63,76,0.8742,0.0,10.53,60,0.8483,0.0,0.0,26,0.7179,0.0,0.0,助手随机1k,0.1563,0.8387
CLIP_QUOTE_DERIVATIVE__2,CLIP_QUOTE_DERIVATIVE__2,84,45,0.8389,2.22,15.56,30,0.8336,0.0,20.0,8,0.8561,0.0,0.0,1,0.962,0.0,0.0,2026搜索,0.0053,0.8401
ACCESS_SPECIFIC_EPISODE__3,ACCESS_SPECIFIC_EPISODE__3,61,59,0.8496,1.69,0.0,2,0.8681,0.0,0.0,0,,,,0,,,,2025搜索,,0.8502
ACCESS_WATCH__3,ACCESS_WATCH__3,1680,818,0.87,0.49,37.9,824,0.8528,0.49,37.01,22,0.791,0.0,31.82,16,0.6414,0.0,75.0,助手头部1k,0.079,0.8583
BARE_TITLE_LOOKUP__4,BARE_TITLE_LOOKUP__4,1153,345,0.83,0.29,4.64,702,0.9001,0.14,6.27,79,0.7514,1.27,20.25,27,0.6226,7.41,22.22,助手随机1k,0.2775,0.8624
ACCESS_WATCH__1,ACCESS_WATCH__1,1963,977,0.8796,0.1,25.9,918,0.8552,0.33,24.07,41,0.7979,0.0,21.95,27,0.7185,3.7,44.44,助手随机1k,0.1611,0.8643
BARE_TITLE_LOOKUP__3,BARE_TITLE_LOOKUP__3,1354,640,0.874,0.31,32.19,630,0.8689,0.63,30.0,51,0.788,1.96,31.37,33,0.714,3.03,27.27,助手随机1k,0.16,0.8645
BARE_TITLE_LOOKUP__2,BARE_TITLE_LOOKUP__2,1874,865,0.8998,0.23,13.87,883,0.9001,0.23,12.91,81,0.8881,0.0,4.94,45,0.6931,2.22,24.44,助手随机1k,0.207,0.8944
ACCESS_WATCH__2,ACCESS_WATCH__2,3764,2024,0.9184,0.3,10.62,1620,0.8965,0.31,15.74,101,0.8622,0.99,22.77,19,0.5625,5.26,31.58,助手头部1k,0.0562,0.9056
LIVE_TV_SCHEDULE__1,LIVE_TV_SCHEDULE__1,425,112,0.8944,0.0,8.93,298,0.9311,0.0,6.04,9,0.8227,0.0,11.11,6,0.8929,0.0,0.0,2025搜索,0.0367,0.9186
BARE_TITLE_LOOKUP__6,BARE_TITLE_LOOKUP__6,2429,1264,0.9284,0.16,35.28,997,0.9254,0.4,33.9,114,0.9085,0.0,33.33,54,0.7281,1.85,27.78,助手随机1k,0.2003,0.9218
WORK_CAST_LOOKUP__2,WORK_CAST_LOOKUP__2,331,152,0.9411,0.0,1.32,122,0.9293,0.0,3.28,39,0.9263,0.0,0.0,18,0.792,0.0,5.56,助手头部1k,0.0148,0.9269
BARE_TITLE_LOOKUP__1,BARE_TITLE_LOOKUP__1,1733,877,0.9379,0.0,29.99,786,0.9273,0.13,30.79,38,0.9222,0.0,26.32,32,0.7033,3.12,37.5,助手随机1k,0.2346,0.9285
LIVE_TV_SCHEDULE__2,LIVE_TV_SCHEDULE__2,155,52,0.978,0.0,3.85,98,0.9793,0.0,4.08,2,0.9998,0.0,0.0,3,0.5167,33.33,0.0,2025搜索,0.0013,0.9702
