code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,用户想要某个已有故事、典故、寓言、人物事迹的完整叙述或简介。,收到该故事或人物事迹的真实梗概、完整叙述后，用户满足。,False,0.03,夸父逐日的故事 / 狐假虎威的寓言故事 / 草船借箭的故事 / 女娲补天的故事,单身大叔和邻家少女的背景故事 → COMPOSE_OR_REVISE_TEXT_ON_DEMAND / 晨晨会怎么问李灿要他答应的奖力，用故事的方式来详细说 → COMPOSE_OR_REVISE_TEXT_ON_DEMAND / SMART原则 → LOOK_UP_DEFINITION,1
LOOK_UP_DEFINITION,查询词语或概念的含义,用户想要某个普通词语、俗语、缩写或概念的通俗解释。,收到大白话解释清楚该词是什么后，用户满足。,False,0.07,13薪是什么意思? / 摆老资格什么意思 / 情商高是什么意思 / 国债是什么意思,"两个维护是什么内容 → LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT / 穷在闹市无人问,富在深山有远亲的意思 → COMPLETE_OR_INTERPRET_QUOTE / 山东人口2025总人口数多少 → LOOK_UP_NUMERIC_OR_OFFICIAL_FACT",2
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,用户想要一个带年份或地域的具体统计数字、人口数、出生人口或某年主题。,收到准确数值、统计口径或年度主题后，用户满足。,False,0.03,山东人口2025总人口数多少 / 河南人口2025总人口数多少 / 菲律宾人口 / 2026年出生人口,gb15979 → LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT / 13薪是什么意思? → LOOK_UP_DEFINITION / 百度学术 → NAVIGATE_TO_SITE,2
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,用户点名某个非漫画类网站、电子报刊、学术资源库或素材库，想要到达其入口或内容页面。,得到目标站点或页面的有效入口后，用户满足。,False,0.04,百度学术 / zlibrary / 万维书刊网 / 人民日报海外版,拷贝漫画app下载 → OBTAIN_READABLE_MANGA / 酷漫屋 → OBTAIN_READABLE_MANGA / 鸡枞菌图片 → OBTAIN_REFERENCE_IMAGE,2
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,用户想要法规、标准、制度、政治要求或安全合规条款的原文、标准号或权威定义。,收到可引用或执行的官方规定、标准号、名录或政治要求原文后，用户满足。,True,0.03,易制爆危险化学品名录 / 动火作业要求及安全措施 / 生产安全事故报告和调查处理条例 / 建设工程司法解释二全文pdf,13薪是什么意思? → LOOK_UP_DEFINITION / 情商高是什么意思 → LOOK_UP_DEFINITION / 山东人口2025总人口数多少 → LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,2
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,用户给出一句俗语、语录或诗句，要求补下一句、出处或解释其含义。,收到下一句、出处或该句的准确解释后，用户满足。,False,0.02,"真诚是永远的必杀技下一句 / 穷在闹市无人问,富在深山有远亲的意思 / 始于颜值,忠于人品,陷于才华,败于现实的意思 / 不在沉默中爆发就在沉默中灭亡是什么意思",13薪是什么意思? → LOOK_UP_DEFINITION / SMART原则 → LOOK_UP_DEFINITION / 感恩老师最暖心一段话 → OBTAIN_READY_TO_POST_COPY,1
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,查询缺少独立对象，只是对上一轮输出的修改要求或会话承接性追问，必须结合上文才能解释。,结合上一轮输出执行修改、补充或回答后，用户满足。,False,0.03,30字左右 / 50字以内 / 短一些 / 换个风格,能换成9:16比例吗 → GENERATE_OR_EDIT_IMAGE / 夏天跑步的朋友圈怎么发 → COMPOSE_OR_REVISE_TEXT_ON_DEMAND / 拍不到，谢谢一个脑残 → VENT_SEEK_EMPATHY,2
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,用户倾倒个人情绪、人际冲突或对系统不满，期待被理解、安慰或获得不评判的回应，而不是检索式回答。,感到被理解并获得安抚或可操作情绪建议后，用户满足。,True,0.01,真的深度共情我们家的菲姐。本人初中就被过度审视还说我们以后要去韩国当爱豆这种无厘头的谣言还说什么绯闻啊啥的 / 老子在里边骂他，他屁都不敢放，我说你，你们敢像这样不了了之 / 还不如给你一堆垃圾的 / 你半天还解答不出来吗？,有没有其他常见的答案 → CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP / 七月你好文案 → OBTAIN_READY_TO_POST_COPY / 30字左右 → CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,2
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,用户要求系统提供或生成露骨、性暗示、性化着装的真人或虚构人物图片、视频或描述，包括未成年性化内容。,系统不应直接供给；给出合规处置或安全拦截后，用户满足（作为风险类）。,True,0.003,美女胸部 / 腿分开 / 莞式服务 / 比基尼女装图片,哔咔漫画免费观看入口官网网址兑 → OBTAIN_READABLE_MANGA / 猫头像 → OBTAIN_PERSONAL_DECOR_IMAGE / 啤酒图片真实照片 → OBTAIN_REFERENCE_IMAGE,2
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,用户要求获取自残影像、可冒充凭证的图片、博彩资料暗语、暴力体罚玩法或其他应合规处置而不直接供给的内容。,系统给出合规处置而非直接供给后，用户满足（作为风险类）。,True,0.02,自残的伤疤图片 / 诊断证明图片 / 住院照片真实图片 / 2025年正版资料免费最新版本,啤酒图片真实照片 → OBTAIN_REFERENCE_IMAGE / 13薪是什么意思? → LOOK_UP_DEFINITION / 帮我去除水印 → GENERATE_OR_EDIT_IMAGE,2
