domain,a,b,why,n_a,n_b,tvd,cramers_v,n_sig_classes,emergent,receded,top_movers
医疗,assistant_top,assistant_voice,输入方式（打字头部→语音）,958,1000,0.3733,0.4431,11,0,0,对具体行为、搭配或说法给出是否可行的裁决 +22.9pp | 仅给出名称的裸实体查询 -13.7pp | 查询中药材/食材/茶饮的功效与作用 -8.3pp | 解释自身症状的原因 +6.2pp | 查询就医科室、医院/医生导航与挂号入口 -4.5pp
医疗,assistant_random,assistant_voice,输入方式（打字长尾→语音）,998,1000,0.1962,0.2261,8,0,0,对具体行为、搭配或说法给出是否可行的裁决 +7.2pp | 处理非健康或无法归入上述意图的残余 -4.8pp | 仅给出名称的裸实体查询 +4.4pp | 查询中药材/食材/茶饮的功效与作用 +3.9pp | 对正在发生的具体不适做分诊与处置判断 -3.1pp
教育,2025search,2026search,时间（搜索内部，2025→2026）,9989,9981,0.0953,0.1161,15,0,0,查询汉字或词语读音 +3.3pp | 启动翻译工具或查询英汉词句 -2.6pp | 按裸校名检索院校信息 -2.3pp | 查询录取分数线与录取数据 -1.8pp | 无意图或上下文依赖的残余查询 +1.4pp
教育,2026search,assistant_top,界面（同为头部流量）,9981,859,0.6426,0.4501,14,0,3,无意图或上下文依赖的残余查询 +50.2pp | 按裸校名检索院校信息 -21.1pp | 启动翻译工具或查询英汉词句 -12.8pp | 查询汉字或词语读音 -12.0pp | 完成中小学学科作业与写作任务 +10.9pp
教育,assistant_top,assistant_random,深度（助手头部→长尾）,859,970,0.2598,0.3019,8,2,0,无意图或上下文依赖的残余查询 -21.9pp | 完成中小学学科作业与写作任务 +12.2pp | 进行升学与择校志愿决策咨询 +4.2pp | 查询职业资格与成人学历提升 +2.9pp | 生成生字组词 -2.6pp
教育,2026search,assistant_random,界面+深度（不可单独归因）,9981,970,0.5994,0.476,15,0,1,无意图或上下文依赖的残余查询 +28.2pp | 完成中小学学科作业与写作任务 +23.1pp | 按裸校名检索院校信息 -20.4pp | 启动翻译工具或查询英汉词句 -12.5pp | 查询汉字或词语读音 -12.2pp
影视,2025search,2026search,时间（搜索内部，2025→2026）,9998,9999,0.0739,0.1494,10,0,0,获取作品的在线播放入口 -4.6pp | 获取作品的网盘或资源下载渠道 +2.9pp | 收看电视频道直播或查询节目表 +2.3pp | 裸片名或仅带实体类型词的作品查询 +1.7pp | 获取片段、台词或混剪等衍生内容 -0.6pp
影视,2026search,assistant_top,界面（同为头部流量）,9999,955,0.2392,0.2921,8,0,1,获取作品的在线播放入口 -16.5pp | 获取片段、台词或混剪等衍生内容 +9.0pp | 查询剧情梗概或结局剧透 +5.5pp | 查询作品演员表与角色信息 +2.9pp | 收看电视频道直播或查询节目表 -2.8pp
影视,assistant_top,assistant_random,深度（助手头部→长尾）,955,982,0.4449,0.5094,10,1,0,剧情设定讨论与同人假设问答 +33.6pp | 裸片名或仅带实体类型词的作品查询 -21.7pp | 获取作品的在线播放入口 -10.9pp | 导航到指定影视站点或平台 -4.0pp | 查询剧情梗概或结局剧透 -3.6pp
影视,2026search,assistant_random,界面+深度（不可单独归因）,9999,982,0.607,0.6546,13,0,0,剧情设定讨论与同人假设问答 +35.9pp | 获取作品的在线播放入口 -27.3pp | 裸片名或仅带实体类型词的作品查询 -23.5pp | 获取片段、台词或混剪等衍生内容 +11.2pp | 凭情节片段反查片名 +3.9pp
人物,2025search,2026search,时间（搜索内部，2025→2026）,9983,9982,0.2561,0.3041,16,1,0,裸名人物身份识别 -19.6pp | 人物档案调阅 +19.1pp | 艺人平台热度数值查询 +2.5pp | 垂类外非人物查询 -2.0pp | 人物肖像图片获取 +1.4pp
人物,2026search,assistant_top,界面（同为头部流量）,9982,889,0.3086,0.3161,15,0,0,人物档案调阅 -24.5pp | 人物近期事件状态查询 +8.2pp | 垂类外非人物查询 +5.9pp | 裸名人物身份识别 +5.1pp | 私人家世与感情关系查询 +4.3pp
人物,assistant_top,assistant_random,深度（助手头部→长尾）,889,950,0.4638,0.5312,9,0,2,裸名人物身份识别 -43.4pp | 人物相关说法核实 +10.4pp | 垂类外非人物查询 +9.5pp | 群体名单枚举 +8.8pp | 人事任免事件查询 +5.7pp
人物,2026search,assistant_random,界面+深度（不可单独归因）,9982,950,0.6823,0.5668,16,0,2,裸名人物身份识别 -38.3pp | 人物档案调阅 -24.5pp | 垂类外非人物查询 +15.4pp | 人物相关说法核实 +11.6pp | 群体名单枚举 +8.7pp
