key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
SYMPTOM_CAUSE_LOOKUP__1,SYMPTOM_CAUSE_LOOKUP__1,,888,2.813,359,3.59,3.243,3.973,2.576,383,3.713,3.365,4.095,3.438,146,1.298,1.104,1.524,0.885,41.74,1.2762,1.2523,43.17,1.3198,1.2951,15.09,0.4613,0.4526,3,,,健康管家随机1w,健康管家Top1w,2.415,2.86,9,10,18,查询皮肤黏膜异常症状与处理建议,42.0,淋巴结肿大的原因 / 眼睛干涩痒什么原因 / 女性玫瑰糠疹要警惕
SYMPTOM_CAUSE_LOOKUP__3,SYMPTOM_CAUSE_LOOKUP__3,,856,2.712,289,2.89,2.579,3.237,2.033,346,3.354,3.024,3.719,3.274,221,1.964,1.724,2.237,1.418,35.21,1.0658,1.0563,40.86,1.2369,1.2259,23.93,0.7243,0.7179,3,,,健康管家随机1w,健康管家Top1w,1.39,1.71,15,11,9,症状原因查询,47.0,胆红素高的原因 / 头发掉得很严重是什么原因 / 成绩好的学生就不会有开学焦虑？
PROVIDER_NAVIGATION_AND_ADMIN__1,PROVIDER_NAVIGATION_AND_ADMIN__1,,850,2.693,749,7.49,6.99,8.022,6.907,48,0.465,0.351,0.616,0.392,53,0.471,0.36,0.616,0.395,88.89,2.7817,2.6666,5.52,0.1728,0.1657,5.59,0.1749,0.1677,3,,,传统搜索随机1w,健康管家随机1w,7.025,16.1,1,46,32,医院及医生信息查询,57.5,南京市第一医院 / 北京宣武预约挂号 / 上海第二人民医院
SYMPTOM_CAUSE_LOOKUP__5,SYMPTOM_CAUSE_LOOKUP__5,,788,2.496,290,2.9,2.589,3.247,2.058,298,2.889,2.583,3.23,2.42,200,1.777,1.549,2.039,1.188,38.33,1.1618,1.1499,38.18,1.1572,1.1454,23.49,0.7121,0.7048,3,,,传统搜索随机1w,健康管家Top1w,1.123,1.63,14,15,10,症状原因查询,44.0,粉色分泌物怎么回事 / 放屁很臭 / 月经走后十天有褐色分泌物怎么回事
PROVIDER_NAVIGATION_AND_ADMIN__2,PROVIDER_NAVIGATION_AND_ADMIN__2,,704,2.23,344,3.44,3.1,3.815,3.672,196,1.9,1.654,2.182,1.651,164,1.458,1.252,1.696,2.495,50.61,1.5425,1.5182,27.95,0.852,0.8385,21.44,0.6536,0.6433,3,,,传统搜索随机1w,健康管家Top1w,1.982,2.36,11,19,15,医疗恢复与检查时间查询,27.7,印堂在什么位置 / 如何帮父母解读看不懂的体检报告 / 如何判断体检异常结果是否严重
PERMISSION_VERDICT__2,PERMISSION_VERDICT__2,,650,2.059,254,2.54,2.249,2.867,1.481,310,3.005,2.693,3.352,2.805,86,0.764,0.619,0.943,0.661,40.26,1.2336,1.2077,47.63,1.4594,1.4289,12.11,0.3712,0.3634,3,,,健康管家随机1w,健康管家Top1w,2.241,3.93,16,13,28,查询特定健康或用药情形下能否吃某物或做某事,38.5,敏感肌能不能做光电项目 / 高考视力矫正没到18岁能做吗 / 尿路感染可以吃阿莫西林吗
OWN_CASE_VERDICT__1,OWN_CASE_VERDICT__1,,556,1.761,143,1.43,1.215,1.682,0.954,224,2.171,1.907,2.471,1.922,189,1.68,1.458,1.934,1.338,27.08,0.8119,0.8123,41.12,1.2328,1.2335,31.81,0.9537,0.9542,3,,,健康管家随机1w,传统搜索随机1w,0.741,1.52,20,17,12,查询化验检查指标含义与异常原因,61.3,体检报告转氨酶轻度升高意味着什么 / 体检报告血糖临界值需要复查吗 / 体检报告数值超出参考范围咋办
OWN_CASE_VERDICT__5,OWN_CASE_VERDICT__5,,549,1.739,142,1.42,1.206,1.671,0.959,324,3.141,2.821,3.495,2.911,83,0.738,0.595,0.913,4.678,26.8,0.8165,0.804,59.28,1.806,1.7783,13.92,0.4242,0.4177,3,,,健康管家随机1w,健康管家Top1w,2.403,4.26,21,12,29,查询疾病症状与诊疗信息,23.0,新冠又反弹了现在感染症状有变化吗 / 胆结石多少mm以上建议手术 / 升主动脉增宽45mm用不用治疗
EFFICACY_VERDICT__2,EFFICACY_VERDICT__2,,548,1.736,220,2.2,1.93,2.506,1.665,215,2.084,1.826,2.378,2.086,113,1.004,0.836,1.206,0.618,41.6,1.2673,1.248,39.41,1.2006,1.1823,18.99,0.5785,0.5697,3,,,传统搜索随机1w,健康管家Top1w,1.196,2.19,17,18,23,中药与中成药信息查询,24.6,独活寄生丸对腰间盘突出有效吗 / 开学前熬夜补作业能顺便调整作息吗 / 黛力新副作用真的那么可怕吗
EFFICACY_VERDICT__1,EFFICACY_VERDICT__1,,499,1.581,194,1.94,1.688,2.229,1.361,189,1.832,1.591,2.109,1.73,116,1.031,0.86,1.235,0.937,40.39,1.2273,1.2117,38.14,1.159,1.1443,21.46,0.6522,0.6439,3,,,传统搜索随机1w,健康管家Top1w,0.909,1.88,18,20,21,查询食物营养与健康影响,34.3,吃了苦葫芦后头晕恶心严重吗 / 喝绿茶能降血压吗 / 晚上穿袜子睡觉的好处
DIAGNOSIS_PROGNOSIS_VERDICT__5,DIAGNOSIS_PROGNOSIS_VERDICT__5,,428,1.356,115,1.15,0.959,1.379,0.8,179,1.735,1.501,2.006,1.481,134,1.191,1.006,1.409,1.878,28.21,0.8482,0.8464,42.57,1.2798,1.2771,29.22,0.8784,0.8765,3,,,健康管家随机1w,传统搜索随机1w,0.585,1.51,26,21,20,查询心脑血管疾病诊疗信息,31.1,老人洗澡后容易头晕眼黑正常吗 / 这种情况会自己好吗？ / 老年人眼睛看不清是老花还是白内障
DIAGRAM_MEDIA_LOOKUP__1,DIAGRAM_MEDIA_LOOKUP__1,,412,1.305,178,1.78,1.539,2.058,2.212,119,1.154,0.965,1.379,1.054,115,1.022,0.852,1.225,0.722,45.0,1.3639,1.35,29.16,0.8839,0.8749,25.84,0.7831,0.7751,3,,,传统搜索随机1w,健康管家Top1w,0.758,1.74,19,30,22,查询骨科伤病诊疗与康复信息,46.1,闭口性粉刺图片 / 腿部穴位图片大全 / 阴虱虫子图片症状
OWN_CASE_VERDICT__4,OWN_CASE_VERDICT__4,,405,1.283,126,1.26,1.059,1.498,0.706,238,2.307,2.035,2.615,1.829,41,0.364,0.269,0.494,0.256,32.05,0.9821,0.9615,58.68,1.7983,1.7605,9.27,0.284,0.278,3,,,健康管家随机1w,健康管家Top1w,1.943,6.33,22,16,38,解读个人健康指标与用药疑问,26.4,"体检报告写建议观察是什么意思 / 八十八岁老年痴呆卧床吞咽困难,已十六天没怎么吃东 / 缺维生素d3"
DIAGNOSIS_PROGNOSIS_VERDICT__2,DIAGNOSIS_PROGNOSIS_VERDICT__2,,373,1.182,55,0.55,0.423,0.715,0.342,132,1.28,1.08,1.515,1.324,186,1.653,1.433,1.906,0.949,15.79,0.4655,0.4738,36.74,1.0829,1.1022,47.47,1.399,1.424,3,,,健康管家Top1w,传统搜索随机1w,1.103,3.01,42,26,13,查询疾病症状与诊疗信息,60.3,前列腺癌症能治好吗 / 耳朵肿瘤能活多久 / 肺癌的淋巴结转移
DIAGNOSIS_PROGNOSIS_VERDICT__1,DIAGNOSIS_PROGNOSIS_VERDICT__1,,363,1.15,83,0.83,0.67,1.028,0.616,137,1.328,1.125,1.568,1.239,143,1.271,1.08,1.495,0.912,24.21,0.7218,0.7262,38.73,1.1549,1.1619,37.06,1.1052,1.1119,3,,,健康管家随机1w,传统搜索随机1w,0.498,1.6,29,24,19,查询疾病症状与诊疗信息,59.0,被不明昆虫叮咬后哪些变化需要及时关注 / 脚底突然长痣有危险吗 / 这种情况会传染给家人吗？
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,,351,1.112,76,0.76,0.608,0.95,0.509,121,1.173,0.983,1.4,1.217,154,1.369,1.17,1.601,0.979,23.02,0.6835,0.6906,35.53,1.0549,1.0658,41.45,1.2309,1.2436,3,,,健康管家Top1w,传统搜索随机1w,0.609,1.8,32,29,17,药品用法与相互作用查询,80.3,甲泼尼龙过了8点还能服用吗 / 烟酰胺可以每天用吗 / 复方电解质醋酸钠葡萄糖注射液
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,,337,1.068,60,0.6,0.466,0.771,0.415,98,0.95,0.78,1.156,1.054,179,1.591,1.376,1.839,1.175,19.1,0.562,0.5731,30.25,0.8899,0.9074,50.65,1.4902,1.5195,3,,,健康管家Top1w,传统搜索随机1w,0.991,2.65,39,33,14,药品用法与相互作用查询,66.8,脾舒宁颗粒吃多久才有效 / 肝爽颗粒一般吃多久 / 服用他达拉非片多久才能起效果?
INTERACTION_VERDICT__2,INTERACTION_VERDICT__2,,322,1.02,125,1.25,1.05,1.487,0.693,145,1.406,1.196,1.652,1.167,52,0.462,0.353,0.605,0.295,40.09,1.2255,1.2028,45.08,1.378,1.3525,14.82,0.4531,0.4447,3,,,健康管家随机1w,健康管家Top1w,0.943,3.04,23,22,33,药品用法与相互作用查询,45.3,"琥珀酸美托洛尔缓释片可以停用吗 / 这几天刚吃的阿司匹林肠溶片就肚子疼,给吃阿司匹林 / 鲨鱼软骨素钙片还需要单独吃钙片"
DIAGNOSIS_PROGNOSIS_VERDICT__4,DIAGNOSIS_PROGNOSIS_VERDICT__4,,319,1.011,116,1.16,0.968,1.389,0.77,127,1.231,1.036,1.463,2.961,76,0.675,0.54,0.845,0.448,37.83,1.1479,1.1348,40.15,1.2183,1.2044,22.03,0.6684,0.6608,3,,,健康管家随机1w,健康管家Top1w,0.556,1.82,25,27,30,查询皮肤黏膜异常症状与处理建议,24.8,排便困难是便秘吗 / 女人38岁还能生孩子吗？ / 尿道感染会肾疼吗
RECOVERY_TIMELINE__1,RECOVERY_TIMELINE__1,,289,0.915,70,0.7,0.554,0.883,1.04,127,1.231,1.036,1.463,1.004,92,0.818,0.667,1.002,0.711,25.47,0.7646,0.764,44.79,1.3448,1.3436,29.75,0.8931,0.8924,3,,,健康管家随机1w,传统搜索随机1w,0.531,1.76,36,27,26,医疗恢复与检查时间查询,79.9,做完肠胃镜多久可以正常饮食 / 产后修复能不能在家做 / 剖腹产多久出院
ENTITY_COMPARISON__1,ENTITY_COMPARISON__1,,285,0.903,76,0.76,0.608,0.95,0.462,114,1.105,0.921,1.326,1.096,95,0.844,0.691,1.031,0.563,28.05,0.8418,0.8415,40.79,1.224,1.2236,31.16,0.9352,0.9349,3,,,健康管家随机1w,传统搜索随机1w,0.345,1.45,32,31,24,药品用法与相互作用查询,68.8,富马酸替诺福韦和恩替卡韦哪个好 / 壮阳药哪个好 / 磷脂酰胆碱和甘油磷脂酰胆碱。哪个是乙酰胆碱的前体
OWN_CASE_VERDICT__3,OWN_CASE_VERDICT__3,,284,0.9,109,1.09,0.904,1.313,0.706,144,1.396,1.187,1.641,1.253,31,0.276,0.194,0.391,0.178,39.47,1.2116,1.1842,50.55,1.5516,1.5165,9.98,0.3062,0.2993,3,,,健康管家随机1w,健康管家Top1w,1.12,5.07,27,23,42,判断身体症状或检查结果是否正常,39.1,怀孕几周做nt检查？ / 孕激素六项检查结果怎样为正常 / 宫颈糜烂三度需要治疗吗
INTERACTION_VERDICT__3,INTERACTION_VERDICT__3,,266,0.843,124,1.24,1.041,1.476,0.723,93,0.902,0.737,1.103,0.797,49,0.435,0.33,0.575,0.335,48.12,1.4716,1.4435,34.98,1.0699,1.0495,16.9,0.5168,0.507,3,,,传统搜索随机1w,健康管家Top1w,0.805,2.85,24,37,35,食物药物同食同服查询,60.5,四磨汤是饭前吃还是饭后吃好一些对胃有损伤吗 / 牛奶和葡萄能一块吃吗 / 吃中药不能吃萝卜吗
OWN_CASE_VERDICT__2,OWN_CASE_VERDICT__2,,252,0.798,94,0.94,0.769,1.149,0.869,134,1.299,1.098,1.536,1.082,24,0.213,0.143,0.317,0.126,38.33,1.1775,1.15,52.97,1.6272,1.5891,8.7,0.2672,0.2609,3,,,健康管家随机1w,健康管家Top1w,1.086,6.09,28,25,43,判断身体症状或检查结果是否正常,47.6,体温35.5浑身没劲头晕 / 火龙果吃多了尿是红色的正常吗 / 黑豆泡水掉色正常吗
DIAGNOSIS_PROGNOSIS_VERDICT__6,DIAGNOSIS_PROGNOSIS_VERDICT__6,,252,0.798,81,0.81,0.652,1.006,0.509,97,0.94,0.771,1.146,0.747,74,0.658,0.524,0.825,0.421,33.64,1.0147,1.0092,39.05,1.1779,1.1715,27.31,0.8239,0.8194,3,,,健康管家随机1w,健康管家Top1w,0.283,1.43,31,35,31,呼吸道症状与用药建议查询,61.9,秋季过敏会诱发咳嗽吗 / 胃食管反流会咳嗽吗 / 慢性胃炎可以自愈吗
OWN_CASE_VERDICT__6,OWN_CASE_VERDICT__6,,231,0.732,74,0.74,0.59,0.928,0.492,108,1.047,0.868,1.262,0.833,49,0.435,0.33,0.575,0.274,33.3,1.0113,0.9989,47.11,1.4307,1.4132,19.59,0.5951,0.5878,3,,,健康管家随机1w,健康管家Top1w,0.611,2.4,34,32,35,血压问题查询,56.3,心率45有危险吗 / 体检数据波动多少范围属于正常 / 心跳60左右正常吗
ACUTE_EMERGENCY_TRIAGE__1,ACUTE_EMERGENCY_TRIAGE__1,,216,0.684,59,0.59,0.458,0.76,4.331,66,0.64,0.503,0.813,0.634,91,0.809,0.659,0.992,0.504,28.94,0.8623,0.8683,31.38,0.935,0.9415,39.67,1.182,1.1902,3,,,健康管家Top1w,传统搜索随机1w,0.219,1.37,40,40,27,查询皮肤黏膜异常症状与处理建议,41.7,硅胶娃娃夹吸太强了会得白血病吗 / 被隐翅虫咬了怎么办 / 蝙蝠抓伤破皮伤口会肿吗会溃烂吗
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,,196,0.621,57,0.57,0.44,0.738,0.368,46,0.446,0.334,0.594,0.42,93,0.827,0.675,1.011,0.581,30.94,0.918,0.9281,24.2,0.7182,0.7261,44.86,1.3312,1.3458,3,,,健康管家Top1w,健康管家随机1w,0.381,1.85,41,47,25,药品用法与相互作用查询,37.2,右佐匹克隆片最多能吃几片？ / 中药泡多久开始熬最好 / 泼尼松片4片，会胖多少斤？
CONTEXT_DEPENDENT_FOLLOW_UP__3,CONTEXT_DEPENDENT_FOLLOW_UP__3,,190,0.602,83,0.83,0.67,1.028,0.586,83,0.805,0.65,0.996,0.598,24,0.213,0.143,0.317,0.173,44.92,1.379,1.3475,43.54,1.3368,1.3062,11.54,0.3544,0.3463,3,,,传统搜索随机1w,健康管家Top1w,0.617,3.89,29,39,43,查询骨科伤病诊疗与康复信息,17.4,abpa / 西地泮 / 止吐
RECOVERY_TIMELINE__2,RECOVERY_TIMELINE__2,,186,0.589,63,0.63,0.493,0.805,0.809,91,0.882,0.719,1.082,0.74,32,0.284,0.202,0.401,0.384,35.07,1.0692,1.052,49.1,1.4971,1.4731,15.83,0.4827,0.4749,3,,,健康管家随机1w,健康管家Top1w,0.598,3.1,38,38,40,医疗恢复与检查时间查询,41.4,手瘾五六年还能恢复吗 / 成人三级视功能还能恢复吗 / 气切后能恢复吗
ENTITY_COMPARISON__2,ENTITY_COMPARISON__2,,175,0.554,69,0.69,0.546,0.872,0.385,55,0.533,0.41,0.693,0.491,51,0.453,0.345,0.595,0.456,41.16,1.2447,1.2348,31.8,0.9617,0.9541,27.04,0.8176,0.8111,3,,,传统搜索随机1w,健康管家Top1w,0.237,1.52,37,42,34,查询疾病症状与诊疗信息,24.0,美瞳线带尾巴和不带尾巴区别 / 宫颈癌变Ⅲ期和宫颈癌晚期有区别吗 / 产后修复和盆底肌训练的区别
DIAGNOSIS_PROGNOSIS_VERDICT__3,DIAGNOSIS_PROGNOSIS_VERDICT__3,,171,0.542,49,0.49,0.371,0.647,0.394,98,0.95,0.78,1.156,0.79,24,0.213,0.143,0.317,0.127,29.64,0.9046,0.8891,57.46,1.7537,1.7238,12.9,0.3938,0.387,3,,,健康管家随机1w,健康管家Top1w,0.737,4.45,43,33,43,查询骨科伤病诊疗与康复信息,38.6,腕管综合征能治愈吗 / 颈椎曲度变直还能恢复吗 / 肌宫后位肌瘤会影响腿疼吗女性
ENTITY_COMPARISON__3,ENTITY_COMPARISON__3,,167,0.529,72,0.72,0.572,0.906,0.535,55,0.533,0.41,0.693,0.491,40,0.355,0.261,0.484,0.204,44.76,1.361,1.3427,33.14,1.0078,0.9943,22.1,0.672,0.663,3,,,传统搜索随机1w,健康管家Top1w,0.365,2.03,35,42,39,查询食物营养与健康影响,42.5,酒石酸与琥珀酸哪个好 / 鸡蛋和鹅蛋哪个更营养 / 柴胡和北柴胡的区别
CONTEXT_DEPENDENT_FOLLOW_UP__2,CONTEXT_DEPENDENT_FOLLOW_UP__2,,147,0.466,30,0.3,0.21,0.428,0.141,97,0.94,0.771,1.146,0.755,20,0.178,0.115,0.274,0.103,21.16,0.6442,0.6347,66.31,2.0193,1.9893,12.53,0.3817,0.376,3,,,健康管家随机1w,健康管家Top1w,0.763,5.29,49,35,46,查询食物营养与健康影响,26.5,需要吃止吐药吗？ / 尿频，就是单纯的尿频也没有尿急症状，喝水？尿频， / 逐步过渡到清淡饮食
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,,138,0.437,36,0.36,0.26,0.498,0.197,57,0.553,0.427,0.715,0.498,45,0.4,0.299,0.535,0.258,27.43,0.8235,0.8229,42.1,1.264,1.263,30.47,0.9149,0.9141,3,,,健康管家随机1w,传统搜索随机1w,0.193,1.53,47,41,37,药品用法与相互作用查询,37.0,每天都吃通便灵可以吗 / 阿莫西林可以早晚2次吃吗 / 退烧药饭前还是饭后吃
REPRODUCTIVE_TIMELINE__1,REPRODUCTIVE_TIMELINE__1,,121,0.383,38,0.38,0.277,0.521,0.21,51,0.494,0.376,0.649,0.384,32,0.284,0.202,0.401,0.194,32.79,0.9914,0.9838,42.66,1.2898,1.2799,24.54,0.742,0.7363,3,,,健康管家随机1w,健康管家Top1w,0.21,1.74,46,44,40,解答月经避孕怀孕相关疑问,76.9,人流后多久能同房 / 47岁女人还能怀孕吗 / 孕试纸最早多少天试出怀孕来
HEALTH_VALUE_CALCULATION__1,HEALTH_VALUE_CALCULATION__1,,114,0.361,49,0.49,0.371,0.647,0.261,50,0.485,0.368,0.638,0.384,15,0.133,0.081,0.22,0.117,44.22,1.3569,1.3267,43.74,1.3421,1.3123,12.03,0.3692,0.3609,3,,,传统搜索随机1w,健康管家Top1w,0.357,3.68,43,45,48,查询食物营养与健康影响,50.9,热量消耗随体重下降 / 10克核桃仁脂肪蛋白质热量碳水 / 体脂率计算公式
INTERACTION_VERDICT__1,INTERACTION_VERDICT__1,,88,0.279,41,0.41,0.302,0.556,0.261,30,0.291,0.204,0.415,0.242,17,0.151,0.094,0.242,0.109,48.13,1.4708,1.4438,34.14,1.0432,1.0241,17.74,0.542,0.5321,3,,,传统搜索随机1w,健康管家Top1w,0.259,2.71,45,48,47,特定场景饮品饮用适宜性查询,65.9,酒后10小时可以输液清开灵吗 / 吃达菲喝了一杯啤酒有事吗 / 吃了头孢多久可以喝酒
PROCEDURE_EXPERIENCE__1,PROCEDURE_EXPERIENCE__1,,71,0.225,31,0.31,0.218,0.44,0.163,27,0.262,0.18,0.381,0.214,13,0.116,0.068,0.198,0.071,45.11,1.3783,1.3532,38.08,1.1637,1.1425,16.81,0.5137,0.5043,3,,,传统搜索随机1w,健康管家Top1w,0.194,2.68,48,49,49,医疗恢复与检查时间查询,63.4,宫腔镜子宫内膜息肉手术 / 贲门松弛手术风险和并发症 / 医生取精时用几只手操作
CONTEXT_DEPENDENT_FOLLOW_UP__1,CONTEXT_DEPENDENT_FOLLOW_UP__1,,35,0.111,14,0.14,0.083,0.235,0.145,14,0.136,0.081,0.228,0.135,7,0.062,0.03,0.128,0.039,41.43,1.2627,1.2429,40.16,1.224,1.2048,18.41,0.5611,0.5523,3,,,传统搜索随机1w,健康管家Top1w,0.078,2.25,50,50,50,解答月经避孕怀孕相关疑问,74.3,"哺乳期公,公 / 吃了止血药月经会停吗 / 女儿痨"
HOME_DEVICE_SELFTEST__1,HOME_DEVICE_SELFTEST__1,,19,0.06,12,0.12,0.069,0.21,0.098,3,0.029,0.01,0.085,0.021,4,0.036,0.014,0.091,0.019,64.99,1.9938,1.9498,15.75,0.4832,0.4725,19.25,0.5906,0.5776,3,,,传统搜索随机1w,健康管家随机1w,0.091,4.13,51,51,51,血糖与糖尿病管理查询,36.8,血压计哪种测量准 / 三诺采血针正确安装方法 / 是否阳了怎么测
