外层,外层名,对比,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,"差最大的三个内层(b-a, *=区间不含0)"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,输入方式·头部层,助手头部1k,助手语音头部1k,73,93,0.2128,0.2304,False,"RESOLVE_BARE_ENTITY__2 -12.5pp [-24.4, -1.1]*；RESOLVE_BARE_ENTITY__3 +12.2pp [-1.9, +25.2]；RESOLVE_BARE_ENTITY__4 +9.1pp [+0.7, +17.4]*"
OTHER_INTENT,其他非金融意图或无明确意图,界面·头部层,2026搜索,助手头部1k,97,59,0.1833,0.1994,False,"OTHER_INTENT__4 -18.3pp [-29.0, -5.7]*；OTHER_INTENT__5 +9.4pp [-1.5, +21.9]；OTHER_INTENT__2 +3.4pp [-12.5, +18.8]"
OTHER_INTENT,其他非金融意图或无明确意图,界面·随机层,2026搜索随机1w,助手随机1k,529,100,0.1862,0.1373,True,"OTHER_INTENT__4 +18.6pp [+8.2, +29.0]*；OTHER_INTENT__1 -9.9pp [-16.2, -1.4]*；OTHER_INTENT__5 -5.4pp [-10.7, +2.4]"
OTHER_INTENT,其他非金融意图或无明确意图,深度·搜索内,2026搜索,2026搜索随机1w,97,529,0.4842,0.1334,True,"OTHER_INTENT__2 -48.4pp [-58.2, -38.4]*；OTHER_INTENT__3 +20.9pp [+13.1, +26.4]*；OTHER_INTENT__1 +17.8pp [+10.9, +22.3]*"
OTHER_INTENT,其他非金融意图或无明确意图,深度·助手内,助手头部1k,助手随机1k,59,100,0.6458,0.2152,True,"OTHER_INTENT__2 -54.9pp [-66.9, -41.5]*；OTHER_INTENT__4 +41.5pp [+27.7, +52.3]*；OTHER_INTENT__3 +17.8pp [+4.9, +28.8]*"
OTHER_INTENT,其他非金融意图或无明确意图,时间·头部层,2025搜索,2026搜索,204,97,0.1147,0.13,False,"OTHER_INTENT__4 +11.1pp [+1.5, +21.6]*；OTHER_INTENT__5 -5.9pp [-13.0, +2.7]；OTHER_INTENT__2 -4.3pp [-16.1, +7.6]"
OTHER_INTENT,其他非金融意图或无明确意图,时间·随机层,2025搜索随机1w,2026搜索随机1w,616,529,0.0551,0.0785,False,"OTHER_INTENT__4 +4.9pp [-0.3, +10.2]；OTHER_INTENT__3 -2.4pp [-7.6, +3.0]；OTHER_INTENT__5 -1.7pp [-5.8, +2.5]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,深度·搜索内,2026搜索,2026搜索随机1w,331,907,0.6036,0.0772,True,"CONTACT_BRANCH_LOOKUP__3 +56.2pp [+51.9, +59.8]*；CONTACT_BRANCH_LOOKUP__4 -31.0pp [-36.9, -25.1]*；CONTACT_BRANCH_LOOKUP__1 -26.1pp [-31.3, -21.2]*"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·头部层,2025搜索,2026搜索,576,331,0.0929,0.0895,True,"CONTACT_BRANCH_LOOKUP__1 +9.3pp [+3.5, +15.3]*；CONTACT_BRANCH_LOOKUP__3 -3.6pp [-6.7, -0.2]*；CONTACT_BRANCH_LOOKUP__4 -2.2pp [-8.9, +4.6]"
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,时间·随机层,2025搜索随机1w,2026搜索随机1w,1103,907,0.0416,0.0535,False,"CONTACT_BRANCH_LOOKUP__3 -4.2pp [-8.4, +0.1]；CONTACT_BRANCH_LOOKUP__2 +1.6pp [-1.0, +4.4]；CONTACT_BRANCH_LOOKUP__4 +0.9pp [-2.4, +4.2]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,界面·随机层,2026搜索随机1w,助手随机1k,1071,139,0.0658,0.096,False,"CONCEPT_EXPLAIN__2 +6.6pp [-2.2, +14.9]；CONCEPT_EXPLAIN__3 -5.0pp [-12.9, +3.7]；CONCEPT_EXPLAIN__1 -1.6pp [-5.1, +4.0]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,深度·搜索内,2026搜索,2026搜索随机1w,154,1071,0.1051,0.0885,True,"CONCEPT_EXPLAIN__2 -10.5pp [-18.3, -2.1]*；CONCEPT_EXPLAIN__3 +9.0pp [+0.8, +16.3]*；CONCEPT_EXPLAIN__1 +1.5pp [-3.7, +5.0]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·头部层,2025搜索,2026搜索,266,154,0.2341,0.1015,True,"CONCEPT_EXPLAIN__2 +23.4pp [+13.5, +32.6]*；CONCEPT_EXPLAIN__3 -19.4pp [-28.3, -9.7]*；CONCEPT_EXPLAIN__1 -4.0pp [-9.2, +1.9]"
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,时间·随机层,2025搜索随机1w,2026搜索随机1w,1037,1071,0.1272,0.0445,True,"CONCEPT_EXPLAIN__2 +12.7pp [+8.5, +16.9]*；CONCEPT_EXPLAIN__3 -10.0pp [-14.1, -5.7]*；CONCEPT_EXPLAIN__1 -2.8pp [-5.3, -0.3]*"
RATE_CALC,查询利率、费率、限额并试算利息/还款,界面·随机层,2026搜索随机1w,助手随机1k,822,98,0.0733,0.0871,False,"RATE_CALC__1 +7.3pp [-3.1, +17.0]；RATE_CALC__2 -7.3pp [-17.0, +3.1]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,深度·搜索内,2026搜索,2026搜索随机1w,84,822,0.1699,0.1057,True,"RATE_CALC__2 -17.0pp [-27.1, -5.8]*；RATE_CALC__1 +17.0pp [+5.8, +27.1]*"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·头部层,2025搜索,2026搜索,233,84,0.0343,0.1277,False,"RATE_CALC__1 +3.4pp [-8.0, +15.6]；RATE_CALC__2 -3.4pp [-15.6, +8.0]"
RATE_CALC,查询利率、费率、限额并试算利息/还款,时间·随机层,2025搜索随机1w,2026搜索随机1w,1012,822,0.0103,0.0456,False,"RATE_CALC__1 +1.0pp [-3.6, +5.6]；RATE_CALC__2 -1.0pp [-5.6, +3.6]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,界面·随机层,2026搜索随机1w,助手随机1k,900,76,0.1016,0.1267,False,"VERDICT_QUESTION__1 +10.2pp [-1.0, +21.7]；VERDICT_QUESTION__2 -10.2pp [-21.7, +1.0]"
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,时间·随机层,2025搜索随机1w,2026搜索随机1w,1088,900,0.0786,0.038,True,"VERDICT_QUESTION__2 -7.9pp [-12.0, -3.7]*；VERDICT_QUESTION__1 +7.9pp [+3.7, +12.0]*"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,界面·随机层,2026搜索随机1w,助手随机1k,954,83,0.224,0.1613,True,"HOWTO_OPERATE__5 +13.5pp [+4.9, +24.1]*；HOWTO_OPERATE__6 -11.0pp [-19.1, -0.6]*；HOWTO_OPERATE__2 -9.3pp [-15.4, -0.3]*"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,深度·搜索内,2026搜索,2026搜索随机1w,84,954,0.1584,0.1528,True,"HOWTO_OPERATE__2 -11.9pp [-22.9, -2.4]*；HOWTO_OPERATE__6 +11.3pp [+0.9, +19.3]*；HOWTO_OPERATE__1 +4.6pp [-3.6, +9.4]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·头部层,2025搜索,2026搜索,225,84,0.0568,0.1794,False,"HOWTO_OPERATE__4 -2.9pp [-10.7, +6.9]；HOWTO_OPERATE__1 -2.8pp [-9.2, +5.8]；HOWTO_OPERATE__6 +2.8pp [-6.5, +13.7]"
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,时间·随机层,2025搜索随机1w,2026搜索随机1w,1231,954,0.0616,0.0562,True,"HOWTO_OPERATE__4 -3.1pp [-6.0, -0.1]*；HOWTO_OPERATE__6 +2.6pp [-1.3, +6.5]；HOWTO_OPERATE__2 +2.5pp [-0.9, +5.9]"
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,时间·随机层,2025搜索随机1w,2026搜索随机1w,153,100,0.0459,0.1034,False,"ENTITY_VERIFY__1 +4.6pp [-6.9, +16.4]；ENTITY_VERIFY__2 -4.6pp [-16.4, +6.9]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,深度·搜索内,2026搜索,2026搜索随机1w,40,118,0.0,0.0,False,"ENTITY_IDENTITY_CHECK__1 +0.0pp [-3.2, +8.8]"
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,时间·随机层,2025搜索随机1w,2026搜索随机1w,78,118,0.0,0.0,False,"ENTITY_IDENTITY_CHECK__1 +0.0pp [-3.2, +4.7]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·头部层,2026搜索,助手头部1k,54,62,0.4588,0.2128,True,"INVEST_ADVICE__3 -45.9pp [-59.4, -29.4]*；INVEST_ADVICE__4 +21.1pp [+6.0, +34.9]*；INVEST_ADVICE__2 +14.0pp [-1.7, +28.5]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,界面·随机层,2026搜索随机1w,助手随机1k,421,160,0.1003,0.1075,False,"INVEST_ADVICE__3 -9.3pp [-13.4, -4.2]*；INVEST_ADVICE__2 +9.1pp [+0.0, +18.0]*；INVEST_ADVICE__4 +0.9pp [-3.1, +6.3]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·搜索内,2026搜索,2026搜索随机1w,54,421,0.4766,0.1589,True,"INVEST_ADVICE__3 -42.5pp [-55.3, -28.8]*；INVEST_ADVICE__2 +28.0pp [+15.0, +37.0]*；INVEST_ADVICE__1 +19.7pp [+6.8, +28.6]*"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,深度·助手内,助手头部1k,助手随机1k,62,160,0.3131,0.1639,True,"INVEST_ADVICE__4 -25.4pp [-38.1, -13.9]*；INVEST_ADVICE__2 +23.1pp [+8.6, +35.7]*；INVEST_ADVICE__1 +8.2pp [-5.8, +20.5]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·头部层,2025搜索,2026搜索,57,54,0.1053,0.2193,False,"INVEST_ADVICE__2 -9.6pp [-24.4, +5.8]；INVEST_ADVICE__3 +6.4pp [-11.8, +24.1]；INVEST_ADVICE__4 +4.1pp [-7.3, +16.0]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·随机层,2025搜索随机1w,2026搜索随机1w,186,421,0.0373,0.1072,False,"INVEST_ADVICE__2 -3.7pp [-12.3, +4.8]；INVEST_ADVICE__3 +2.8pp [-3.1, +7.9]；INVEST_ADVICE__1 +0.9pp [-7.5, +8.9]"
TXN_ISSUE,排查账户与交易异常,时间·随机层,2025搜索随机1w,2026搜索随机1w,518,417,0.0381,0.0871,False,"TXN_ISSUE__4 -2.1pp [-6.5, +2.4]；TXN_ISSUE__3 -1.7pp [-7.7, +4.4]；TXN_ISSUE__5 +1.6pp [-3.9, +7.2]"
COMPARISON_DECISION,比较两个金融对象并给出取舍,时间·随机层,2025搜索随机1w,2026搜索随机1w,100,111,0.0,0.0,False,"COMPARISON_DECISION__1 +0.0pp [-3.3, +3.7]"
DEBT_DISTRESS,处理逾期催收与还款困境,时间·随机层,2025搜索随机1w,2026搜索随机1w,71,41,0.0,0.0,False,"DEBT_DISTRESS__1 +0.0pp [-8.6, +5.1]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,界面·随机层,2026搜索随机1w,助手随机1k,459,79,0.2275,0.1543,True,"NEWS_EVENT__4 +13.1pp [+5.9, +23.1]*；NEWS_EVENT__1 -11.1pp [-21.7, +0.7]；NEWS_EVENT__5 +9.6pp [-0.6, +21.1]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,深度·搜索内,2026搜索,2026搜索随机1w,61,459,0.2792,0.1693,True,"NEWS_EVENT__2 -27.9pp [-40.7, -15.6]*；NEWS_EVENT__5 +15.1pp [+4.9, +21.3]*；NEWS_EVENT__3 +8.8pp [+1.3, +12.2]*"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·头部层,2025搜索,2026搜索,40,61,0.2602,0.2499,True,"NEWS_EVENT__4 -23.4pp [-38.6, -10.4]*；NEWS_EVENT__1 +21.8pp [+2.7, +37.8]*；NEWS_EVENT__2 +4.3pp [-15.1, +22.7]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·随机层,2025搜索随机1w,2026搜索随机1w,273,459,0.1207,0.1003,True,"NEWS_EVENT__3 -6.4pp [-11.9, -1.3]*；NEWS_EVENT__1 +5.8pp [-1.7, +13.0]；NEWS_EVENT__4 -5.7pp [-10.1, -1.8]*"
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,时间·随机层,2025搜索随机1w,2026搜索随机1w,56,99,0.0,0.0,False,"MARKET_MOVEMENT_EXPLAIN__1 +0.0pp [-3.7, +6.4]"
