外层,外层名,快照,source,n,内层,内层名,条数,占比%,95CI低%,95CI高%
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,17,查询保险公司信息,4,0.08,0.03,0.2
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,54,建设银行网点与服务查询,3,0.06,0.02,0.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,13,花呗操作查询,3,0.06,0.02,0.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,66,金融行情数据查询,3,0.06,0.02,0.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,33,查询人民币兑外币汇率,3,0.06,0.02,0.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,11,查询金融术语含义,3,0.06,0.02,0.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,65,计算存贷款利息,2,0.04,0.01,0.15
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,16,查询人寿保险相关业务信息,2,0.04,0.01,0.15
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,19,车险购买与理赔咨询,2,0.04,0.01,0.15
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,14,个人征信报告查询与影响咨询,2,0.04,0.01,0.15
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,18,查询保险相关业务,1,0.02,0.0,0.11
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,24,证券股吧查询,1,0.02,0.0,0.11
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,21,保险公司电话查询,1,0.02,0.0,0.11
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,24,证券股吧查询,818,59.23,56.62,61.8
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,52,下载安装金融类App,154,11.15,9.6,12.92
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,31,查询财经门户与市场行情,89,6.44,5.27,7.86
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,46,查询股份股票及股吧信息,76,5.5,4.42,6.83
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,0,股票代码查询,57,4.13,3.2,5.31
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,26,查询个股股票行情与股吧讨论,41,2.97,2.2,4.0
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,1,查询300开头股票代码与行情,35,2.53,1.83,3.5
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,32,证券股票信息查询,15,1.09,0.66,1.78
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,14,个人征信报告查询与影响咨询,13,0.94,0.55,1.6
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,72,金融代码查询,12,0.87,0.5,1.51
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,44,支付宝相关操作查询,9,0.65,0.34,1.23
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,58,查询黄金价格,8,0.58,0.29,1.14
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,8,查询贷款信息,6,0.43,0.2,0.94
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,16,查询人寿保险相关业务信息,6,0.43,0.2,0.94
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,54,建设银行网点与服务查询,5,0.36,0.15,0.84
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,27,查询市场行情,4,0.29,0.11,0.74
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,15,查询借款平台正规性,4,0.29,0.11,0.74
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,6,查询股票代码与指数信息,4,0.29,0.11,0.74
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,53,中国银行服务信息查询,3,0.22,0.07,0.64
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,17,查询保险公司信息,3,0.22,0.07,0.64
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,73,证券代码信息查询,2,0.14,0.04,0.53
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,25,查询股票信息,2,0.14,0.04,0.53
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,49,银行信息查询,2,0.14,0.04,0.53
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,2,证券代码信息查询,2,0.14,0.04,0.53
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,50,农业银行及农村信用社服务信息查询,2,0.14,0.04,0.53
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,21,保险公司电话查询,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,7,基金净值查询,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,18,查询保险相关业务,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,28,股指行情查询,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,13,花呗操作查询,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,43,支付方式使用与设置查询,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,62,查询金价,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,45,查询股份公司及股票信息,1,0.07,0.01,0.41
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,2025search,1381,23,科技类股票信息查询,1,0.07,0.01,0.41
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,33,查询人民币兑外币汇率,445,45.18,42.09,48.3
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,35,货币兑换金额换算查询,319,32.39,29.54,35.37
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,39,货币兑换查询,97,9.85,8.14,11.87
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,36,人民币及货币信息查询,53,5.38,4.14,6.97
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,34,查询美元兑日元汇率,50,5.08,3.87,6.63
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,53,中国银行服务信息查询,7,0.71,0.34,1.46
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,63,查询价格走势图,3,0.3,0.1,0.89
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,60,市场价格行情查询,2,0.2,0.06,0.74
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,6,查询股票代码与指数信息,2,0.2,0.06,0.74
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,0,股票代码查询,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,28,股指行情查询,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,67,贷款月供计算,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,72,金融代码查询,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,71,查询价格与金额,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,31,查询财经门户与市场行情,1,0.1,0.02,0.57
FX_CONVERT,查询汇率并换算外币金额,2025搜索,2025search,985,62,查询金价,1,0.1,0.02,0.57
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,31,查询财经门户与市场行情,160,22.07,19.2,25.23
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,49,银行信息查询,106,14.62,12.24,17.38
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,32,证券股票信息查询,55,7.59,5.87,9.75
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,18,查询保险相关业务,43,5.93,4.43,7.89
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,8,查询贷款信息,34,4.69,3.38,6.48
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,17,查询保险公司信息,32,4.41,3.14,6.16
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,36,人民币及货币信息查询,28,3.86,2.69,5.53
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,50,农业银行及农村信用社服务信息查询,27,3.72,2.57,5.36
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,16,查询人寿保险相关业务信息,20,2.76,1.79,4.22
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,47,查询办理信用卡业务,18,2.48,1.58,3.89
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,22,查询科技股与科创板信息,17,2.34,1.47,3.72
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,13,花呗操作查询,15,2.07,1.26,3.39
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,21,保险公司电话查询,14,1.93,1.15,3.22
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,53,中国银行服务信息查询,13,1.79,1.05,3.04
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,43,支付方式使用与设置查询,13,1.79,1.05,3.04
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,14,个人征信报告查询与影响咨询,11,1.52,0.85,2.7
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,15,查询借款平台正规性,11,1.52,0.85,2.7
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,52,下载安装金融类App,9,1.24,0.65,2.34
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,7,基金净值查询,9,1.24,0.65,2.34
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,54,建设银行网点与服务查询,8,1.1,0.56,2.16
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,48,银行卡业务查询与办理指导,8,1.1,0.56,2.16
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,10,查询转账与账户业务可行性,8,1.1,0.56,2.16
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,44,支付宝相关操作查询,6,0.83,0.38,1.79
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,29,蚂蚁庄园今日答案查询,6,0.83,0.38,1.79
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,19,车险购买与理赔咨询,6,0.83,0.38,1.79
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,62,查询金价,6,0.83,0.38,1.79
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,28,股指行情查询,4,0.55,0.21,1.41
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,71,查询价格与金额,4,0.55,0.21,1.41
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,33,查询人民币兑外币汇率,4,0.55,0.21,1.41
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,58,查询黄金价格,3,0.41,0.14,1.21
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,20,查询交强险保费、赔偿与投保规定,3,0.41,0.14,1.21
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,30,股票行情与选股建议查询,3,0.41,0.14,1.21
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,35,货币兑换金额换算查询,3,0.41,0.14,1.21
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,34,查询美元兑日元汇率,3,0.41,0.14,1.21
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,39,货币兑换查询,2,0.28,0.08,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,45,查询股份公司及股票信息,2,0.28,0.08,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,68,利率查询与计算,2,0.28,0.08,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,65,计算存贷款利息,2,0.28,0.08,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,0,股票代码查询,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,67,贷款月供计算,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,23,科技类股票信息查询,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,72,金融代码查询,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,26,查询个股股票行情与股吧讨论,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,27,查询市场行情,1,0.14,0.02,0.78
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,2025search,725,55,银行客服电话查询,1,0.14,0.02,0.78
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,29,蚂蚁庄园今日答案查询,115,56.37,49.51,63.0
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,31,查询财经门户与市场行情,15,7.35,4.51,11.78
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,52,下载安装金融类App,12,5.88,3.4,10.0
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,36,人民币及货币信息查询,6,2.94,1.35,6.27
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,19,车险购买与理赔咨询,6,2.94,1.35,6.27
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,71,查询价格与金额,5,2.45,1.05,5.61
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,27,查询市场行情,4,1.96,0.77,4.93
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,17,查询保险公司信息,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,44,支付宝相关操作查询,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,66,金融行情数据查询,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,60,市场价格行情查询,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,30,股票行情与选股建议查询,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,18,查询保险相关业务,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,11,查询金融术语含义,3,1.47,0.5,4.23
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,43,支付方式使用与设置查询,2,0.98,0.27,3.5
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,28,股指行情查询,2,0.98,0.27,3.5
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,22,查询科技股与科创板信息,2,0.98,0.27,3.5
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,49,银行信息查询,2,0.98,0.27,3.5
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,2,证券代码信息查询,2,0.98,0.27,3.5
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,67,贷款月供计算,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,64,查询金融业务数值与代码,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,15,查询借款平台正规性,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,70,查询定期存款利率,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,13,花呗操作查询,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,24,证券股吧查询,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,20,查询交强险保费、赔偿与投保规定,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,72,金融代码查询,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,35,货币兑换金额换算查询,1,0.49,0.09,2.72
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,2025search,204,8,查询贷款信息,1,0.49,0.09,2.72
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,55,银行客服电话查询,244,42.36,38.39,46.43
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,3,查询电话号码归属,110,19.1,16.1,22.51
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,21,保险公司电话查询,66,11.46,9.11,14.32
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,49,银行信息查询,51,8.85,6.8,11.46
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,47,查询办理信用卡业务,40,6.94,5.14,9.32
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,50,农业银行及农村信用社服务信息查询,12,2.08,1.2,3.61
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,16,查询人寿保险相关业务信息,10,1.74,0.95,3.17
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,54,建设银行网点与服务查询,9,1.56,0.82,2.94
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,53,中国银行服务信息查询,9,1.56,0.82,2.94
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,17,查询保险公司信息,8,1.39,0.71,2.72
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,15,查询借款平台正规性,4,0.69,0.27,1.77
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,44,支付宝相关操作查询,2,0.35,0.1,1.26
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,72,金融代码查询,2,0.35,0.1,1.26
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,48,银行卡业务查询与办理指导,2,0.35,0.1,1.26
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,14,个人征信报告查询与影响咨询,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,1,查询300开头股票代码与行情,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,6,查询股票代码与指数信息,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,31,查询财经门户与市场行情,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,0,股票代码查询,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,18,查询保险相关业务,1,0.17,0.03,0.98
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,2025search,576,11,查询金融术语含义,1,0.17,0.03,0.98
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,11,查询金融术语含义,120,45.11,39.24,51.12
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,30,股票行情与选股建议查询,34,12.78,9.29,17.33
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,49,银行信息查询,16,6.02,3.74,9.55
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,65,计算存贷款利息,14,5.26,3.16,8.64
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,19,车险购买与理赔咨询,13,4.89,2.88,8.18
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,28,股指行情查询,7,2.63,1.28,5.33
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,8,查询贷款信息,6,2.26,1.04,4.83
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,14,个人征信报告查询与影响咨询,6,2.26,1.04,4.83
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,68,利率查询与计算,5,1.88,0.81,4.32
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,27,查询市场行情,4,1.5,0.59,3.8
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,43,支付方式使用与设置查询,4,1.5,0.59,3.8
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,48,银行卡业务查询与办理指导,4,1.5,0.59,3.8
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,31,查询财经门户与市场行情,3,1.13,0.38,3.26
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,22,查询科技股与科创板信息,3,1.13,0.38,3.26
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,47,查询办理信用卡业务,3,1.13,0.38,3.26
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,20,查询交强险保费、赔偿与投保规定,3,1.13,0.38,3.26
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,25,查询股票信息,2,0.75,0.21,2.7
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,12,金融业务操作与问题处理方法查询,2,0.75,0.21,2.7
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,64,查询金融业务数值与代码,2,0.75,0.21,2.7
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,2025search,266,53,中国银行服务信息查询,2,0.75,0.21,2.7
