claim,value,source_table,how_computed
52 条规则里 20 条的触发条件被判为不可用（只列出 12 条，另 8 条被截断）,"n_triggers_rejected=20, len(rejected_triggers)=12, rejected_triggers_truncated=8, n_with_executable_trigger=51",runs/ppl-pool5b/gen01/taxonomy_v2.json: rules_vs_evidence / rule_conflicts,直接读；截断上限见 src/qmine/ops/rule_conflict.py:479 self.rejected[:12]
规则-证据比对未运行，拥挤度无读数,p2b_rules_match_their_evidence=skipped; measured_overlaps=[]; crowded_class_pairs=[],runs/ppl-pool5b/gen01/run_summary.json: gates; taxonomy_v2.json: rule_conflicts,直接读
"领域先验 expected_l1_range=[8,14] / expected_family_range=[10,20]，交付 20 个 L1 / 35 个家族","[8,14] vs 20; [10,20] vs 35",configs/domains/people_zh.yaml; analysis/pooled5/work/人物/summary.json,直接读 yaml 与 summary.json
"裸名人物身份识别 12,458 行（57.14%），人物档案调阅 4,156 行（19.06%），垂类外非人物查询 1,175 行（5.39%）",12458/21804=0.5714; 4156/21804=0.1906; 1175/21804=0.0539,交付 parquet,df.td_l1.value_counts()
交付 36 个叶 / 35 个家族；34 个家族只含 1 个叶，只有家族 2 含 2 个叶,"n_classes_bu_leaf_name=36, n_classes_bu_family_final=35; groupby(bu_family_final).bu_leaf.nunique() 取值分布 {1:34, 2:1}",analysis/pooled5/work/人物/summary.json; 交付 parquet,df.groupby('bu_family_final')['bu_leaf'].nunique().value_counts()
"交付叶 1『人物资料查询』12,670 行 = 58.11%，内含 19 个意图类里的 18 个",n=12670; 12670/21804=0.5811; df[df.bu_leaf==1].td_l1_name.nunique()=18; 裸名 69.05% + 档案 25.98%,交付 parquet,按 bu_leaf==1 过滤后计数与 value_counts(normalize=True)
79.2% 的『人物档案调阅』与 70.2% 的『裸名人物身份识别』落在叶 1,"crosstab(td_l1_name, bu_leaf==1, normalize='index')[True]: 档案=79.2, 裸名=70.2",交付 parquet,pd.crosstab 归一化到行
P002（merge_leaves，32 个目标）在账本上是 declined，但执行记录把它 24 个目标并进了叶 1,"ledger P002 status=declined; execution.leaf_merges.map 24 项均→1; n_rows_moved=12372; n_leaves_removed=24; refused_because_isolated=[24,32,36,38,39,48,51,52]",runs/ppl-pool5b/gen01/governance.json,直接读 ledger 与 execution.leaf_merges
"逐行核对：59 个叶→36 个叶，叶 1 由 298 行涨到 12,670 行，全语料 12,389 行换叶（12,372 合并 + 17 拆分）","len(set(pre))=59, len(set(post))=36, (pre!=post).sum()=12389, Counter(pre)[1]=298, Counter(post)[1]=12670, 消失叶=[2,3,4,5,6,7,8,11,23,29,30,31,33,40,41,42,44,47,53,54,55,56,57,58], 新增叶=[59]",runs/ppl-pool5b/gen01/leaf_labels.npy vs leaf_labels_final.npy,np.load 两个数组逐位比较 + collections.Counter
治理 12 执行 / 4 否决；执行的 12 条里 10 条是风险动作（flag_risk 9 + isolate_leaf 1），2 条是 split_leaf,"Counter(kind,status)={('flag_risk','executed'):9, ('split_leaf','executed'):2, ('isolate_leaf','executed'):1, ('merge_leaves','declined'):2, ('keep_as_is','declined'):2}",runs/ppl-pool5b/gen01/governance.json: ledger; run_summary.json: gates.p8_governance_executed,"对 ledger 的 (kind,status) 计数"
交付面板（36 个叶）：留出复现 0.7897、连贯度 3.949、模糊率 21.01%、稳定 ARI 0.9308、重拟合稳定 0.59、蒸馏 0.9233、silhouette 0.0387、模板碎片 4.0278,"subject=leaves, n_clusters=36.0",runs/ppl-pool5b/gen01/metrics_panel.json: table.rows,直接读 subject=='leaves' 的行
"p6 闸门的 94.2%（n=4,361）量的是 p6 当时的 59 个叶，不是交付的 36 个叶","gate message: 'held-out rows land in the same cluster 94.2% of the time (95% CI 0.934-0.948, n=4361)'",runs/ppl-pool5b/gen01/run_summary.json: gates.p6_heldout_reproduction,"代码依据 src/qmine/graph/nodes/bottomup.py:654 heldout_reproduction(H, ref_out['leaf_labels'], ...)，p6 在 p8 之前"
p7 的连贯度读数也是 59 叶时的：mean 3.95/5、1/59 低于 3.0；p7 命名了 59 个叶，p10 交付 36 个叶,"gates.p7_coherence='blind coherence: mean 3.95/5, 1/59 leaves (2%) below 3.0'; p7_all_leaves_named='all 59 leaves named'; p10_delivered_leaves_named='all 36 delivered leaves carry a name'",runs/ppl-pool5b/gen01/run_summary.json: gates,直接读
"36 个交付叶里 19 个是『资料/简介/简历/信息/百科』同义变体，覆盖 17,808 行（81.68%）",19/36; 17808/21804=0.8168,交付 parquet,对 36 个 bu_leaf_name 用正则 r'资料|简介|简历|信息|百科' 匹配后按叶求行数之和
6 个交付叶以某个具体人物或某个姓氏用字命名,查询含“马”字人物信息(159) / 肖战个人资料简介查询(146) / 查询习近平个人资料与讲话(135) / 鞠婧祎资料与送花影响力查询(116) / 查询鹿晗关晓彤近况与感情动态(63) / 查询习近平总书记个人信息与讲话(17),交付 parquet; runs/ppl-pool5b/gen01/tree_naming.json,人工阅读 36 个 bu_leaf_name 后逐个核对行数（七一勋章获得者信息查询未计入，它是奖项不是个人）
家族 K 由 intent_alignment_ami 定位在 18；稳定性下限 0.55 否决了 5 个 K；三角测量未收敛,"chosen_family_k=18, locator=intent_alignment_ami, stability_floor=0.55, n_rejected_as_unstable=5, converged=false, measured_estimators_agree=false, silhouette_disagrees=true, silhouette_peak_k=120",runs/ppl-pool5b/gen01/granularity.json: triangulation,直接读
定位 K 的参照系只触及 60% 的簇、22.8% 的行,"locator_reach.phrasing_groups.reach=0.6, row_coverage=0.228; gates.p5_locator_reaches_the_corpus=warned",runs/ppl-pool5b/gen01/granularity.json; run_summary.json,直接读
网格提议者提出的 K=6 没有赢,"grid_proposal.proposed_kept=[6], chosen=18, a_proposed_value_won=false",runs/ppl-pool5b/gen01/granularity.json,直接读
"加助手行前后：AMI_td 0.6963 / NMI 0.6977 / ARI_td 0.8213 / AMI_bu 0.3609，匹配 19,965 行，15 类→19 类","同左；对照 fin02/fin03: AMI_td=0.7742, AMI_bu=0.6873",analysis/pooled5/work/taxonomy_delta_summary.csv,直接读 domain=人物 与 domain=对照·同数据两次运行(fin02/fin03) 两行
人物的 ARI_td 0.8213 是五个领域里最高的；AMI_bu 0.3609 是最低的,"金融 0.7226/0.7253, 医疗 0.6123/0.5158, 教育 0.6991/0.7126, 影视 0.6875/0.4247, 人物 0.8213/0.3609",analysis/pooled5/work/taxonomy_delta_summary.csv,读全表比较 ARI_td 与 AMI_bu 两列
老类『成人向人物内容查询』334 行搜索行，273 行（81.74%）进了裸名人物身份识别，0 行进空的成人类,列和=334; 裸名人物身份识别=273; 273/334=0.8174; 垂类外=22; 性化浏览=20,analysis/pooled5/work/人物/taxonomy_delta_crosstab.csv,读该列并求和
这条去向是写进规则的：ar_bare_vs_adult_entity 明文把裸名成人从业者路由到 BARE_NAME_IDENTITY_LOOKUP,"rule id=ar_bare_vs_adult_entity, then=BARE_NAME_IDENTITY_LOOKUP, classes=[BARE_NAME_IDENTITY_LOOKUP, ADULT_OR_LEAKED_CONTENT_SEEKING]",runs/ppl-pool5b/gen01/taxonomy_v2.json: taxonomy.rules,按 id 查该条规则
"老类『裸名身份查询』11,931 行里 11,228 行（94.11%）仍是裸名人物身份识别",11228/11931=0.9411,analysis/pooled5/work/人物/taxonomy_delta_crosstab.csv,读该列并求和
"老类『人物生平简介查询』4,138 行里 3,984 行（96.28%）进了人物档案调阅",3984/4138=0.9628,analysis/pooled5/work/人物/taxonomy_delta_crosstab.csv,同上
两个以助手行为主的新类：人物相关说法核实 73.94%、黑料绯闻炒作查询 53.57%,assistant_share=0.7394 / 0.5357; classes_majority_assistant=2,analysis/pooled5/work/人物/taxonomy_delta_newclass_mix.csv; taxonomy_delta_summary.csv,直接读
四条线的 TVD 与 95% 区间,"时间 0.2561 [0.2458,0.2700] null_p95=0.0297; 界面 0.3086 [0.2900,0.3293] null=0.1014; 深度 0.4638 [0.4369,0.5107] null=0.1194; 界面+深度 0.6823 [0.6566,0.7078] null=0.1137",analysis/pooled5/work/cross/tvd_ci.csv (domain=人物),直接读
显著类数 16 / 15 / 9 / 16；Cramér's V 0.304 / 0.316 / 0.531 / 0.567,同左,analysis/pooled5/work/人物/contrast_summary_td_l1_name.csv,直接读
人物的时间线 TVD 25.61% 是五个领域里最大的,金融 0.1446 教育 0.0953 医疗 0.0899 影视 0.0739 人物 0.2561,analysis/pooled5/work/cross/tvd_ci.csv,读 a=2025search b=2026search 的五行
"把搜索侧截到它自己的前 1,000 名，界面线 TVD 只动 0.0258——五个领域里最小",人物 0.3086→0.3344 (+0.0258); 影视 +0.0354; 金融 +0.0726; 医疗 +0.1732; 教育 +0.1850,analysis/pooled5/work/cross/depth_control.csv,直接读 change 列
时间线的 16 个显著类与区间,"裸名 69.25→49.61 (-19.64 [-20.97,-18.30]); 档案 10.78→29.86 (+19.09 [+18.00,+20.17]); 艺人热度 0.00→2.47 (+2.47 [+2.18,+2.80], emergent); 垂类外 5.54→3.59 (-1.95); 肖像 0.77→2.15 (+1.38); 打榜 0.11→1.35 (+1.24); 职务 3.06→1.90 (-1.15); 人事 1.14→0.39 (-0.75); 家世 1.68→0.97 (-0.71); 主页 0.31→0.89 (+0.58); 近期事件 1.21→0.66 (-0.55); 名单 2.09→2.54 (+0.45); 属性 1.55→1.94 (+0.39); 说法核实 0.35→0.08 (-0.27); 反查 0.58→0.34 (-0.24); 黑料 0.11→0.02 (-0.09)","analysis/pooled5/work/人物/diffs_td_l1_name.csv (a=2025search,b=2026search,sig=True)",直接读 share_a/share_b/diff_pp/lo_pp/hi_pp
两个最大移动量几乎抵消：-19.64 + 19.09 = -0.55pp,-0.55pp,analysis/pooled5/work/人物/diffs_td_l1_name.csv,两个 diff_pp 相加
以档案后缀结尾的行 10.34%(1032) → 25.35%(2530)，解释 +19.09pp 的 79%,1032/9983=0.1034; 2530/9982=0.2535; (25.35-10.34)/(29.86-10.78)=0.786,交付 parquet,"query.str.contains(r'(?:简介|个人资料|资料|简历|履历|百科|生平|个人简历)$', regex=True) 按来源求均值"
逐后缀计数 2025→2026,简介 527→1080; 资料 275→656; 简历 207→537; 个人资料 218→322; 百科 14→249; 履历 7→5; 生平 2→3,交付 parquet,query.str.endswith(suffix) 逐个后缀计数（口径为 endswith，故与上一条的正则总数不等）
"2026 的 2,530 条后缀行里 913 条（36.09%）的裸名核心同时也是当年榜上的一行；2025 同口径 402/1032=38.95%（复核修正：原为 1207/47.71% 与 406/39.34%，方向为略降而非上升）",913/2530=0.3609; 402/1032=0.3895,交付 parquet,一次锚定剥离后缀得 core，检查 core 是否在同一年该来源的 query 集合里（verify_ppl.md B-1 复核值；复核另试 8 种 core 口径，无一给出原值，且每一种下 2026 都不高于 2025）
"2026 的 2,085 条新后缀串里，只有 285 条（13.67%）的核心曾是 2025 前一万的一行；放宽到「核心本身 或 核心+任一后缀曾出现过」也只有 301 条（14.44%）（复核修正：原为 295/14.15% 与 312/14.96%）",285/2085=0.1367; 301/2085=0.1444,交付 parquet,先取 2026 后缀行中 query 不在 2025 集合的 2085 行，再查 core 是否在 2025 集合（strict）；放宽口径 = 核心本身 或 核心+任一后缀（verify_ppl.md B-6 复核值）
"逐字重合 45.01%；留存 4,493 / 掉榜 5,490 / 新进 5,489；留存串带走 2026 的 56.4% PV",overlap=0.4501; stay=4493 gone=5490 new=5489 stay_share_of_2026=0.4501; PV 56.4%,analysis/pooled5/work/人物/overlap.csv; cross/turnover_summary.csv; 交付 parquet,集合交并差；PV 按 pv_raw 求和后除以该来源总和
"留存的 4,493 条串在两年里 0 条换 td 标签、0 条换聚类叶",td differs=0; bu_leaf differs=0 (n=4493),交付 parquet,按 query 内连接 2025 与 2026 两个子集后逐行比较 td_l1_name 与 bu_leaf
"全语料 4,544 条重复串 / 9,495 行（43.55%），td 标签冲突 0 条、叶冲突 0 条","distinct=16853; repeated strings=4544; rows=9495; nunique>1 的串: td=0, leaf=0",交付 parquet,value_counts>1 后 groupby(query).nunique()
留存/掉榜/新进三桶的类目占比,留存: 裸名 77.74% 档案 10.26%; 掉榜: 裸名 62.30% 档案 11.20%; 新进: 档案 45.91% 裸名 26.58% 艺人热度 4.50% 打榜 2.28%,analysis/pooled5/work/人物/turnover_classes.csv,直接读
"PV 水位：2025 总 9,954,135 中位 392 最小 207；2026 总 7,784,118 中位 339 最小 179（总量 -21.8%）",7784118/9954135=0.782,交付 parquet,按来源对 pv_raw 求 sum/median/min
"等 PV 门槛（>=207）TVD 24.88%（2026 剩 8,507 行）；等秩（各取前 9,982）TVD 25.61%",0.2488 / 0.2561（全量 0.2561）,交付 parquet,对两个子集重算 td_l1_name 分布的 0.5*|pa-pb| 之和
艺人平台热度数值查询 2026 年 247 行全部含『影响力』，156 行含『百度』；粉丝打榜投票入口 135 行全部含『送花』，101 行含『百度』,247/247; 156; 135/135; 101,交付 parquet,按类过滤后 query.str.contains 计数
2025 搜索 PV 前三合计占该来源 PV 的 16.42%，三条都是裸名,陈小江 961536 / 马兴瑞 502916 / 韦韬 170243；(961536+502916+170243)/9954135=0.1642,交付 parquet,"nlargest(3,'pv_raw') 后求和除以该来源 pv_raw 总和"
"2026 搜索 PV 前三：蔡奇 178,847 / 习近平 141,833 / 七一勋章获得者 95,135",同左,交付 parquet,"nlargest(3,'pv_raw')"
界面线的 15 个显著类与区间,"档案 29.86→5.40 (-24.46 [-26.05,-22.56]); 近期事件 0.66→8.89 (+8.23 [+6.52,+10.28]); 垂类外 3.59→9.45 (+5.86 [+4.07,+7.99]); 裸名 49.61→54.67 (+5.06 [+1.63,+8.45]); 家世 0.97→5.29 (+4.32 [+3.01,+6.00]); 艺人热度 2.47→0.11 (-2.36); 肖像 2.15→0.79 (-1.37); 反查 0.34→1.69 (+1.35); 打榜 1.35→0.11 (-1.24); 梗 0.13→1.35 (+1.22); 黑料 0.02→1.24 (+1.22); 属性 1.94→3.15 (+1.21); 说法核实 0.08→1.24 (+1.16); 性化浏览 0.94→1.91 (+0.97); 主页 0.89→0.11 (-0.78)","analysis/pooled5/work/人物/diffs_td_l1_name.csv (a=2026search,b=assistant_top,sig=True)",直接读
档案调阅的 -24.46pp 是对 2026 这个被后缀撑起来的分母算的；对 2025（10.78%）算只有 -5.38pp,5.40-10.78=-5.38pp,analysis/pooled5/work/人物/class_profile.csv,share%_assistant_top 减 share%_2025search
裸名人物身份识别在两个界面上都是真的裸名：统一 13 类下判为裸实体 2026搜索 96.7%(n=4952) / 助手头部 96.1%(n=486)；判为无法判定 0.3% / 1.4%,同左；助手随机只有 57.9%(n=107),analysis/pooled5/work/人物/vs_unified_crosstab_by_source.csv,取 td_l1_name=裸名人物身份识别 的三行，按行归一
含孙宇晨或景甜的行在助手头部有 71 行（7.99%），带走该来源 PV 的 17.19%,71/889=0.0799; PV 41474/241244=0.1719,交付 parquet,query.str.contains('孙宇晨|景甜') 后计数与 pv_raw 求和
这条线在各类中的占比：黑料 7/11(64%)、家世 21/47(45%)、梗 4/12(33%)、档案 8/48(17%)、近期事件 11/79(14%)、裸名 7/486(1%),同左,交付 parquet,按 td_l1_name 分组后对同一正则计数
助手头部『垂类外非人物查询』42.9% 被统一框架判为无法判定，2026 搜索只有 5.0%；后者 70.4% 判为裸实体,"U13: 助手头部 36/84=42.9%, 2026搜索 18/358=5.0%, 助手随机 52/180=28.9%; U02: 2026搜索 70.4%",analysis/pooled5/work/人物/vs_unified_crosstab_by_source.csv,取 td_l1_name=垂类外非人物查询 的三行，按行归一
看图或无指代提问词面（窄口径）：两个搜索快照各 0 行，助手头部 13 行(1.46%)，助手随机 2 行(0.21%),同左,交付 parquet,正则 r'这是谁|这个人是谁|这人是谁|图中|照片里|这女的|这男的|这个演员|请问图'
"助手头部 889 行只有 854 个不同串（重复率 3.94%）；孙宇晨在该来源出现两次（PV 7,878 与 2,218）",dup_rate_%=3.94,analysis/pooled5/work/cross/concentration_by_source.csv; 交付 parquet,nunique vs len；按 query 过滤读两行
助手头部近期事件类的集中度低：top1 PV 4.46%、top5 17.30%,"top1_pv_share=0.044647, top5_pv_share=0.173042","analysis/pooled5/work/人物/concentration_td_l1_name.csv (source=assistant_top, label=人物近期事件状态查询)",直接读
深度线的 9 个显著类与区间,"裸名 54.67→11.26 (-43.41 [-47.14,-39.47]); 说法核实 1.24→11.68 (+10.45 [+8.32,+12.71]); 垂类外 9.45→18.95 (+9.50 [+6.34,+12.65]); 名单 2.47→11.26 (+8.79 [+6.55,+11.11]); 人事 0.67→6.42 (+5.75 [+4.15,+7.53]); 属性 3.15→8.32 (+5.17 [+3.07,+7.32]); 职务 1.35→3.58 (+2.23 [+0.81,+3.73]); 反查 1.69→3.16 (+1.47 [+0.04,+2.94]); 性化浏览 1.91→0.63 (-1.28 [-2.46,-0.25])","analysis/pooled5/work/人物/diffs_td_l1_name.csv (a=assistant_top,b=assistant_random,sig=True)",直接读
该线标的 2 条 receded 都不显著,"跳转人物站外主页 与 粉丝打榜投票入口，各 1 行→0 行，diff -0.112pp [-0.634,+0.301], sig=False",analysis/pooled5/work/人物/diffs_td_l1_name.csv,筛 kind!='stable' 的行
基层/教职工/企业任职标记并集：2025搜索 1.24%(124) / 2026搜索 0.60%(60) / 助手头部 0.45%(4) / 助手随机 9.89%(94),同左,交付 parquet,"三个正则取并集：基层 r'(镇|乡|村|街道|社区)(党委|党支部|政府|书记|主任|委员|长|站|所)|[市县区]委|县.{0,4}局|市.{0,4}局|街道办'；教职工 r'老师|班主任|校长|教授|导师|辅导员|教研|任教|带的班|带的学生'；企业 r'有限公司|股份公司|集团.{0,6}(总经理|董事|负责人)|法定代表人|总经理|董事长|职员|员工'"
分项：学校教职工词 0.19/0.20/0.34/6.84%（助手随机 65 行）；基层单位词 0.88/0.37/0.11/1.89%（18 行）；企业任职词 0.17/0.03/0.00/1.26%（12 行）,同左,交付 parquet,同上三个正则分别计算
『是否/有没有/是不是』核实句式：0.02 / 0.00 / 0.34 / 8.74%（助手随机 83 行）,同左,交付 parquet,正则 r'是否|是不是|有没有|有无|还在(任|世)|属实吗|真的吗'
涉案/调查/举报措辞：搜索两侧各 0 行，助手头部 2 行，助手随机 6 行,同左,交付 parquet,正则 r'被调查|双规|双开|落马|涉嫌|举报|判刑|服刑|案底|违纪|违法'
联系方式/身份证件/住址索取：搜索两侧各 0 行，助手头部 1 行，助手随机 6 行；7 行散在 5 个意图类,公共职务现任者查询 2 / 垂类外非人物查询 2 / 人物档案调阅 1 / 人物单项属性查询 1 / 人物相关说法核实 1,交付 parquet,正则 r'电话|手机号|联系方式|身份证|住址|家庭住址|微信号|QQ号|qq号|身份证号'
那 94 行基层/普通个人行的类目分布,说法核实 22 / 名单枚举 16 / 垂类外 12 / 近期事件 9 / 公共职务 8 / 人事任免 6 / 裸名 5 / 单项属性 5 / 档案调阅 5 / 反查 4 / 家世 2,交付 parquet,并集掩码后 td_l1_name.value_counts()
助手随机里能靠一份家喻户晓人物词表认出来的只有 40 行（4.21%），这是下界；另一头基层/教职工/企业任职标记命中 94 行（9.89%），也是下界；剩余 816 行（85.89%）两个代理都够不着，不作判断,40/950=0.0421; 94/950=0.0989; 两者都不命中 816/950=0.8589,交付 parquet,正则 r'习近平|毛泽东|周恩来|邓小平|朱德|刘少奇|胡锦涛|江泽民|李克强|鲁迅|孙悟空|李白|诸葛亮|杨贵妃|赵本山|张国立|郭德纲|于谦|张雪峰|柴可夫斯基|克伦威尔|汪精卫|川岛芳子|朱高炽|朱瞻基|吕后|胡雪岩|周培源|西游记|水浒传|猪八戒|jojo|吴昕|韩寒|罗晋|刘涛|刘源|哪吒'（词表小，只能作下界）
助手长尾的置信度：td_confidence 0.782→0.520，p10 0.341→0.238，td_ambiguous 1.57%→5.79%,同左,analysis/pooled5/work/人物/fit.csv,直接读
"两条路线一致度 AMI(叶,意图)：2025 0.3220 / 2026 0.3557 / 助手头部 0.3693 / 助手随机 0.2105",同左,analysis/pooled5/work/cross/route_agreement_by_source.csv,"直接读；已用 sklearn.adjusted_mutual_info_score(bu_leaf, td_l1) 按来源复现"
界面+深度线的 16 个显著类与区间,"裸名 -38.35 [-40.45,-35.97]; 档案 -24.50 [-26.05,-22.65]; 垂类外 +15.36 [+12.97,+18.00]; 说法核实 +11.60 [+9.71,+13.80]; 名单 +8.72; 近期事件 +8.29; 属性 +6.37; 家世 +6.29; 人事 +6.03; 反查 +2.82; 艺人热度 -2.37; 职务 +1.68; 打榜 -1.35(receded); 主页 -0.89(receded); 梗 +0.61; 黑料 +0.40","analysis/pooled5/work/人物/diffs_td_l1_name.csv (a=2026search,b=assistant_random,sig=True)",直接读
在②③④三条线上都涨的类只有四个,垂类外(+5.86/+9.50/+15.36); 说法核实(+1.16/+10.45/+11.60); 反查(+1.35/+1.47/+2.82); 属性(+1.21/+5.17/+6.37),analysis/pooled5/work/人物/diffs_td_l1_name.csv,按 label 取三条线的 diff_pp，筛全为正者
长度：2025搜索 中位 3 / p90 8 / 均值 4.22；2026搜索 4/10/5.61；助手头部 3/11/5.72；助手随机 12/19/18.04,同左,analysis/pooled5/work/人物/form.csv；交付 parquet,form.csv 直接读，已用 query.str.len() 复现
<=3 字占比 61.85 / 43.95 / 53.88 / 4.42%；>=20 字 0.04 / 0.07 / 0.22 / 9.16%；>=40 字 0 / 0 / 2 行 / 31 行,同左,交付 parquet,query.str.len() 分档后按来源求均值
含『简介/资料/简历/履历/百科』词面（contains 口径）11.25 / 31.93 / 4.05 / 3.68%,同左,交付 parquet,正则 r'简介|个人资料|资料|简历|履历|百科|生平'（contains，非 endswith）
流水线的『资源词』一列在本领域只有 0.89 / 2.56 / 0.79 / 1.16%,同左,analysis/pooled5/work/人物/form.csv,直接读 资源词 列
语义近邻分档（对 2026 搜索一万条找最近邻）,"对照·2026搜索前1000→其余: n=1000 中位 0.819, >=0.999 1.20%, 0.90-0.999 26.00%, <0.70 8.30%; 2025搜索 n=9983 中位 0.854, >=0.999 45.13%, <0.70 27.27%; 助手头部 n=889 中位 0.828, >=0.999 47.13%, <0.70 32.73%; 助手随机 n=950 中位 0.565, >=0.999 0.53%, <0.70 88.63%",analysis/pooled5/work/semantic_nn.parquet; semantic_nn_controls.parquet (domain=人物),按 source 分组对 sim 列分档，阈值与 digest.txt [9] 一致
>=0.999 与逐字重合只差 0.12 / 0.64 / 0.00 个百分点,45.13 vs 45.01; 47.13 vs 46.49; 0.53 vs 0.53,analysis/pooled5/work/人物/overlap.csv; semantic_nn.parquet,overlap.csv 行=A 列=2026search；余弦列自算
2025 搜索在 0.90-0.999 档有 250 行，其中 166 行（66.4%）与最近邻没有子串包含关系——该指标量的是词序与虚词，不是实体；逐行判读后最近邻确属另一个人的约 11 行（4.4%），指向另一个职务/级别的约 12 行，合计约 9%,166/250=0.664（子串口径）；实体核心口径 57/250=22.8%；逐行判读 另一个人约 11 行=4.4%，另一职务/级别约 12 行，合计约 9%,analysis/pooled5/work/semantic_nn.parquet,筛 0.90<=sim<0.999 后判断 query 与 nn_query 是否互为子串；实体口径为剥掉档案/图片/年龄等后缀后再判包含；9% 一项为 250 行全量人工判读（verify_ppl.md B-2）
该档里指向另一个人的真实例子,马瑞兴→马兴瑞 0.980; 王文洪→王洪文 0.975; 黄峥→徐峥 0.906; 美娜→娜美 0.944。另有一对两字/三字姓名差的配对余弦 0.988，因无法判定是否为公众人物，本报告与本表均不列出原文,analysis/pooled5/work/semantic_nn.parquet,逐行读 query / nn_query / sim
