claim,value,source_table,how_computed
跨领域·输入方式轴的可排序性,对头部：金融 .4104 与 医疗 .3733 重叠，不可排序；对长尾：金融 .3270 > 医疗 .1962 可排,cross/tvd_ci.csv,区间重叠判定
界面线不是截断深度造的（5/5）,"对齐到搜索侧前 1,000 名后界面 TVD 全部上升：人物 +.0258、影视 +.0354、金融 +.0726、医疗 +.1732、教育 +.1850",cross/depth_control.csv: tvd_vs_full10k / tvd_vs_top1000 / change,直接读取 change 列
界面线换锚检验：人物是唯一会翻号的领域,锚2026→锚2025：影视 .2392→.2370(−.0022)、教育 .6426→.6632(+.0206)、金融 .2810→.2157(−.0654)、医疗 .3083→.2420(−.0663)、人物 .3086→.2247(−.0840)；≥4pp 显著类换锚后变号数 0/0/0/0/1（人物 `裸名人物身份识别` +5.1pp→−14.6pp）,cross/synthesis_derived.csv 块 `E 界面线换锚`,p5_synthesis_recompute.py: e_anchor()，用 2025search 替换 2026search 作为搜索锚，逐类 newcombe 后比较符号
人物只能读「深度 ≫ 界面≈时间」,"锚 2025 时界面线 22.47% [19.42,25.86] 与时间线 25.61% 区间重叠","dom_ppl.md §3（复核 B-3 的 2,000 次 bootstrap）+ 本文换锚复算",引用复核值，方向由本文独立复算的 E 块印证
跨领域归并规则,"按行归并到统一 13 类（U01–U13），不按类目名归并；覆盖 2026搜索+助手头部+助手随机，五域覆盖率 100%（11,810–11,954 行/域）",work/<domain>/vs_unified_crosstab_by_source.csv; p5_vs_unified.py: UNAME/COVERED,按 source 求和得每来源×U 的计数
为什么不按类目名归并,94 个领域类目里主导 U 纯度 ≥0.8 的 28 个、0.5–0.8 的 35 个、<0.5 的 31 个,work/<domain>/vs_unified_crosstab.csv,逐类 max(row)/sum(row)，五域合并统计
2025 搜索与语音不在 U 框架射程内,人物 2025search 的 U 覆盖率 45.5%（恰等于两年逐字重合 45.01%，是有偏子集）；金融语音 U 覆盖率 6.5%,p5_vs_unified.py: umap(); work/人物/overlap.csv; dom_fin.md §4.5,把 U 标签映回 2025search 行，统计 notna 比例
5/5 规律·深度线 裸实体下降,金融 −25.9pp(268→23) / 医疗 −19.3(203→19) / 教育 −13.0(135→26) / 影视 −21.2(278→78) / 人物 −46.6(515→108)，五域 95% 区间均不含 0,cross/synthesis_derived.csv 块 `B 统一13类Δ·深度`,pooled5_common.newcombe，两侧较大计数≥20
5/5 规律·深度线 个案判断与建议上升,人物 +2.0pp(1→20) / 影视 +3.2(0→31) / 教育 +5.9(3→61) / 金融 +16.3(77→241) / 医疗 +25.5(78→336),cross/synthesis_derived.csv 块 `B 统一13类Δ·深度`,同上
5/5 规律·深度线 核实与动态上升,教育 +2.1pp(2→23) / 影视 +2.6(17→43) / 人物 +5.3(98→155) / 金融 +5.6(50→107) / 医疗 +7.9(15→94),cross/synthesis_derived.csv 块 `B 统一13类Δ·深度`,同上
5/5 规律·界面线 无法判定上升,金融 +3.9pp(78→44) / 人物 +8.8(95→87) / 医疗 +11.8(24→115) / 影视 +12.0(128→127) / 教育 +37.4(416→357),cross/synthesis_derived.csv 块 `B 统一13类Δ·界面`,同上
5/5 规律·界面+深度线,裸实体降、个案判断升、核实与动态升、清单与推荐升、无法判定升，均 5/5 且通过 20 行最小格子约束,cross/synthesis_derived.csv 块 `B 统一13类Δ·界面+深度`,同上
两条方向一致、体量只在 2/5 成立的,"会话与系统指令 在界面+深度线 5/5 显著上升（金融 0→9 行也显著）；生成与编辑 在同一条线是 4/5——金融那一格只有 0→1 行（Newcombe [+0.01,+0.57] 勉强不含 0，Fisher p=0.090，不计入）。两类助手侧格子在 金融/医疗/人物 只有 1、10、9 行与 9、8、9 行；加 20 行下限后只剩 教育（199/62 行）与影视（68/30 行）",work/<domain>/vs_unified_crosstab_by_source.csv; cross/synthesis_derived.csv 块 `F 小格子复核`,按来源求和后读原始计数；Newcombe + Fisher 双判据，并逐格判定是否过 20 行下限
4/5 规律与各自的例外（后两条按 20 行最小格子降级）,"仍成立三条：界面·导航直达降（医疗 +0.7pp 例外，该域搜索导航类仅 30 行）；深度·事实与数值升（金融 −9.8pp 例外）；深度·解释与介绍升（医疗 −13.5pp 例外）。降级两条：界面·会话与系统指令升——方向 4/5 显著，但只有教育（11→111 行）过 20 行最小格子，影视 3→13、人物 0→4、医疗 0→2 一律不计作成立，金融 0→0；界面·生成与编辑升——教育 88→50、影视 2→36 过下限，医疗 0→13 显著但格子 13 行，金融只有 0→1 行（Newcombe [+0.01,+0.59] 勉强不含 0，Fisher p=0.087，不计入），人物 0→0",cross/synthesis_derived.csv 块 `B 统一13类Δ·*` 与 `F 小格子复核`,F 块逐格给原始计数、pooled5_common.newcombe 区间、scipy fisher_exact、是否过 20 行下限；复核表给的 2/5 与 3/5 复现不出——其 Newcombe 实现把上下界贡献项写反（对调后与其数值逐格吻合），本行按实测取值，但降级结论由「最小格子」这条本文自设判据独立支撑
形态侧的独立佐证（5/5 同向）,2026搜索→助手随机同向上升的标记：疑问句、第一人称、称呼对方、家庭成员、身份/人生阶段、是非核实、选择清单、多问句、中位长度、p90长度,cross/form_all.csv,逐标记比较五域两来源的值，阈值 0.2pp（长度列直接比较）
领域特性·教育,`会话与系统指令` 界面线 +12.8pp（其余四域 ≤+1.3pp）；助手头部 61.93% 是残余类、51.9% 的行 ≤3 字,cross/synthesis_derived.csv; cross/residue_breakdown.csv; dom_edu.md §4.1,U 层 Δ + 残余占比
领域特性·影视,`获取现成内容` 深度线 −8.6pp、界面+深度 −21.8pp；2026搜索该类占 39.62%，五域唯一,cross/synthesis_derived.csv; work/影视/vs_unified_shares.csv,同上
领域特性·金融,个案判断与建议 的界面线 Δ 是五域唯一显著且大的（+7.8pp，其余四域 ≤+0.3pp）。但这是差值大不是水平高：助手头部绝对占比 金融 8.11%、医疗 8.14%（一样大），差别在搜索侧 0.33% vs 8.09%。真正「要到长尾才起来」的是 教育 0.35%→6.29%、影视 0.00%→3.16%、人物 0.11%→2.11%,cross/synthesis_derived.csv 块 `B 统一13类Δ·界面`,U 层界面线 Δ + 逐来源绝对占比（原稿只给 Δ，把差值读成了水平）
领域特性·人物,`核实与动态` 界面线 +10.2pp（其余四域 ≤+3.8pp）,cross/synthesis_derived.csv 块 `B 统一13类Δ·界面`,同上
领域特性·医疗与人物（2 域，非医疗独有）,"裸实体 在界面线上升：医疗 +8.9pp、人物 +5.1pp[+1.69,+8.46]，两域区间均不含 0；与 金融 −11.6 / 教育 −31.4 / 影视 −10.0 反向。两域助手头部分别由裸病名/裸药名 22.13%、裸人名 57.9% 撑着",cross/synthesis_derived.csv 块 `B 统一13类Δ·界面`,U 层界面线 Δ；原稿只列三个反向域、跳过人物，会被读成「只有医疗如此」
时间轴上没有跨领域规律,显著且 ≥4pp 的类：人物 2、医疗 2、影视 1、金融 1、教育 0，无一条在两个以上领域重复,"cross/diffs_all.csv: why=时间…, sig, diff_pp",筛 sig==True 且 |diff_pp|>=4 后按领域计数并比对类目
人物的时间异常不影响任何跨领域方向性规律,人物在 §2.2 的每一条 5/5 规律里都与其余四域同侧；§2.3 的五条规律里它进了三条（界面·导航直达 −1.7pp、深度·事实与数值 +16.1pp、深度·解释与介绍 +5.6pp）。缺席两条的原因都是格子为空或过小：界面·生成与编辑 助手头部 0 行；界面·会话与系统指令 0→4 行，方向为正、区间不含 0，但远在 20 行最小格子之下，不计作成立,cross/synthesis_derived.csv 块 `B 统一13类Δ·*` 与 `F 小格子复核`; work/人物/vs_unified_crosstab_by_source.csv,逐条核对人物列的符号与原始计数，并套用 §2.1 的 20 行下限
搜索留下的：裸实体 index 5/5 ≥1.0,金融 1.11 / 医疗 1.01 / 教育 1.14 / 影视 1.09 / 人物 1.06,work/<domain>/vs_unified_crosstab_by_source.csv,来源内占比 ÷ 三来源合并占比
搜索留下的：导航直达 index 4/5 ≥1.0,金融 1.15 / 教育 1.13 / 影视 1.13 / 人物 1.16；医疗 0.87 例外（该域搜索导航类仅 30 行）,work/<domain>/vs_unified_crosstab_by_source.csv,同上
助手长尾接住的六类（index ≥1.5，5/5）,个案判断与建议 3.29–12.15；生成与编辑 5.21–12.44；会话与系统指令 4.10–12.09；核实与动态 3.07–7.57；清单与推荐 1.69–4.59；无法判定 1.78–5.34,work/<domain>/vs_unified_crosstab_by_source.csv,同上
助手头部只有一类 5/5 集中,`无法判定` index 2.82（金融）–5.72（医疗）,work/<domain>/vs_unified_crosstab_by_source.csv,同上
五个领域最集中的长尾类，归并到 U 层后只有 3/5 是同两件事,3/5 成立：金融 寻求个股买卖(n=276) U 层第一大类 个案判断与建议 56.5%、医疗 分诊处置(47) 个案判断 63.8%、人物 说法核实(111) 核实与动态 49.5%，三者 个案判断+核实 合计 53.2–66.3%。2/5 不成立：教育 完成作业(237) 主导是 生成与编辑 42.6%（个案判断+核实仅 3.4%）；影视 剧情设定讨论(355) 散进 12 个非零 U 类、最大一类 解释与介绍 24.5%（合计 14.1%）,work/<domain>/vs_unified_crosstab_by_source.csv 的 assistant_random 行; cross/surface_signature.txt,逐类读 U 分布（行级），不按类目名归并；集中度 index 仍为 surface_signature.txt 的直接读数
两个界面字面共用的那部分：3/5 是对象名，金融是单实体读数，教育是无意图短串,打字助手行里串在搜索里也出现的比例 金融 26.5%(513/1937) > 人物 24.1%(444/1839) > 医疗 13.9%(272/1956) > 影视 11.6%(224/1937) > 教育 9.4%(172/1829)。共有桶第一大类逐行映 U：人物 裸名识别 91% → 裸实体 100%；医疗 裸实体查询 50% → 裸实体 96%；影视 裸片名 63% → 裸实体 84%；金融 实时行情 78% → 事实与数值 52% + 裸实体 46%；教育 残余短串 65% → 无法判定 75% / 裸实体 14%,work/<domain>/shared_core_classes.csv（打字助手口径）; cross/turnover_summary.csv; cross/synthesis_derived.csv 块 `G 共有桶的U层`,p5_turnover.py 原把 assistant_voice 计入助手分母（只有金融/医疗有语音，逐字重合 6.5%/1.0%），落盘曾是 587/2937=20.0% 与 289/2956=9.8%，排序被翻转；脚本已改为仅 assistant_top∪assistant_random 并重跑。U 层分布由 G 块逐行映射，不按类目名归并
助手长尾在搜索里找不到近邻（域内 5/5 单调，跨域三条带重叠）,余弦 <0.70 的行占比在每个领域内部都沿 搜索年际对照 → 助手头部 → 助手随机 单调升高（5/5）；但三条带跨域重叠（4.1–27.3% / 18.6–47.3% / 65.7–90.5%，人物搜索 27.3% > 金融助手头部 18.6%），只能竖着读,cross/semantic_nn_summary.csv: far_pct,逐域读 far_pct 并在域内排序；跨域并排会造成三条分离带的错觉
包装对：长尾的外壳比头部长（5/5）,中位加字 头部 +4～+7.5 字、长尾 +9～+12 字,"work/wrap_summary_{人物,医疗,教育,金融_影视}.csv: median_added",直接读取；教育文件生成于 dom_edu.md 定稿之后
包装对：意图不变率头部高于长尾（4/5 显著，人物测不出方向）,"影视 −33.1pp[−40.8,−24.7]、金融 −28.0[−35.2,−20.1]、教育 −20.0[−36.2,−1.6]、医疗 −6.5[−12.4,−0.5] 四域区间不含 0；人物 7.1%→11.0%，Δ+3.9pp[−2.6,+10.9] 区间含 0，方向测不出（不是「反向」）。绝对水平跨领域不可比还有第二个原因：判据是 td_l1_name 是否相同，五域类数 15–20 不等",work/wrap_summary_*.csv: same_intent; cross/synthesis_derived.csv 块 `I 包装对`,pooled5_common.newcombe，k 由 same_intent×pairs 还原；脚本 assert 人物一行 sig=False
助手头部的流量数被清洗决定（5/5）,pv_drop_%：人物 33.43、医疗 39.13、金融 42.32、教育 57.81、影视 78.33,cross/composition_all.csv: pv_drop_%,直接读取
语音的仪器特征（两域一致）,"1,000 行 885 个不同串（重复 11.5%）；标点 1.5%/1.3%；长度上限 46/42 字，≥38 字 1.00%/0.50%；抽样口径未说明；无 pv",work/voice_profile.csv; voice_profile.txt; cross/composition_all.csv,直接读取
语音的最优头尾混合权重,α(头部)=0.26（金融）/0.24（医疗）,cross/synthesis_derived.csv 块 `D 语音混合拟合`,"在 α∈[0,1] 上格点搜索使 TVD(语音, α·头部+(1−α)·长尾) 最小"
语音不是头尾的混合：残差,残差 TVD 0.2386（金融）/0.1739（医疗）；量级参照是同来源置换零假设上界 0.118/0.126,cross/synthesis_derived.csv 块 `D`; cross/tvd_ci.csv: null_p95,最优混合后的剩余 TVD；⚠两者口径不同（拟合残差 vs 原始 TVD 的置换上界），只作量级参照
语音结论对两条仪器修正稳健,去重复串：α 降到 0.18/0.21、残差 0.2514/0.1870；去 ≥38 字疑似截断：α 0.27/0.24、残差 0.2399/0.1746,cross/synthesis_derived.csv 块 `D`,对去重与去截断两个子集重跑同一拟合
语音偏长尾（两域一致）,"TVD(语音,长尾) 0.3270/0.1962 < TVD(语音,头部) 0.4104/0.3733",cross/tvd_ci.csv,直接读取
语音没有任何跨领域共有的残差方向（原「不做裸实体读数」已撤回）,原稿引的三个数是「语音 − 助手头部」，不是 §4.2 拟合的残差。真实残差 语音−(α·头部+(1−α)·长尾)：金融 行情 −0.06pp（语音19.5% 拟合19.6%）、医疗 裸实体 +0.04pp、医疗 中药材功效 +0.97pp——三个被点名的类恰是被混合解释得最好的。真正最负：金融 寻求个股买卖决策建议 −14.07pp、医疗 处理非健康残余 −4.41pp，两域指向不同。语音在这些类上高于长尾（行情 19.5% vs 8.7%），「不承接裸实体读数」对长尾也为假,cross/synthesis_derived.csv 块 `H 语音逐类残差`,p5_synthesis_recompute.py: h_voice_residual()，带 assert（三个被点名类的 |残差| < 1.5pp）
语音自己的正项在两域不同,金融 4 类同时高于头部与长尾且两侧区间不含 0：操作指引 13.5%(+10.97/+6.51)、算金额 11.1%(+9.10/+6.54)、官方渠道 8.6%(+3.44/+4.24)、股吧 1.0%(+0.79/+0.90，量级极小)；医疗只有 1 类：行为裁决 26.0%(+22.87/+7.16),work/<domain>/shares_td_l1_name.csv; fit.csv(n),对每类分别做 语音vs头部、语音vs长尾 的 newcombe，两侧 lo>0 才计入
一条已被证伪、不得复用的语音解释,「念数字比打数字容易」：打字搜索的换算语 6.08–8.08%、类内 58.5–60.7%，都在语音之上,dom_fin.md 修订记录 B1,引用复核后的修订结论
领域体系相对通用框架的增益有两个方向,拆分/合并：金融 0/10 与 8/16；人物 3/9 与 9/16；医疗 3/9 与 8/20；教育 9/11 与 6/19；影视 8/10 与 3/15,work/<domain>/vs_unified_crosstab.csv,判据同 p5_vs_unified.py：U 类≥50 行被拆成≥2 个各≥20% 的挖掘类 = 拆分；挖掘类≥50 行吸收≥2 个各≥20% 的 U 类 = 合并
"AMI(本体系, 统一13类)",金融 0.4514 / 医疗 0.3702 / 教育 0.4262 / 影视 0.5110 / 人物 0.5597,work/<domain>/vs_unified_crosstab.csv,由列联表展开成标签数组后 sklearn.adjusted_mutual_info_score；金融/医疗/人物与各域报告自算值一致
最值得记的一条合并：裸实体与事实与数值被合回同一件事,"金融 查询金融资产实时行情(7,000) ← 裸实体52%+事实与数值46%；人物 公共职务现任者查询(236) ← 裸实体50%+事实与数值42%；医疗 就医科室导航(281) ← 裸实体42%+办事与操作21%；教育 检索古诗文与课文原文(575) ← 裸实体55%+获取现成内容27%",work/<domain>/vs_unified_crosstab.csv,逐类读行内 U 分布
残余三分解·助手长尾是真正的类目缺口,「有实质意图而本体系接不住」占残余：金融 68.7%、医疗 67.8%、教育 66.2%、人物 57.7%,cross/residue_breakdown.csv,c = 1 − U13 − (U02 + U11)
残余三分解·助手头部是「离开上下文没有意图」,说不清+结构性无槽位合计：医疗 48.8%、金融 57.8%、人物 81.0%、教育 84.0%,cross/residue_breakdown.csv,a + b
残余三分解·搜索的残余是结构性无槽位，医疗除外,2026搜索 b 值：金融 75.0%、人物 70.4%、教育 52.7%；医疗只有 28.1%、其 c 值 68.8% 反而最高,cross/residue_breakdown.csv,同上
残余里最大的一块在四域并不相同,金融 个案判断 15.1%；医疗 解释与介绍/个案判断 并列 19.5%；教育 生成与编辑 15.5%；人物 清单与推荐 13.9%。个案判断+核实与动态合计：金融 26.5% / 医疗 25.1% / 人物 10.6% / 教育 9.3%,work/<domain>/vs_unified_crosstab_by_source.csv,取 catch_all × assistant_random 一行的 U 分布
影视没有残余类，它的混装桶是一个有意义的类名,`剧情设定讨论与同人假设问答` 助手随机 36.15%，在 U 下散进 12 个非零类、最大一类 24.5%,cross/residue_breakdown.csv（无影视行）; dom_film.md §3③,前者为缺行事实，后者引用复核后的领域结论
只有两份领域报告提出同一条处方，另外三份提的是别的,金融 §7-3（补「核实/求证」槽，明写 U05）与 医疗 §7-3（补「个案判断」槽，明写 U07 33.67%）是同一条。教育 §7② 的第二类「校历与学校事务性事实」在 U 层是 事实与数值；影视 §7③ 的四类在 U 层是 生成与编辑/解释与介绍/清单与推荐/会话与系统指令，一类都不在个案判断或核实上；人物 §7③ 提的不是意图槽，而是「按主体人群决定答案边界」，该报告明写这一维度不是交付列的字段,"dom_{fin,med,edu,film,ppl}.md §7 原文",逐份读取 §7 的「做法」句，再把它命名的类映到 U 层；不按处方标题归并
缺口的比例测不准,残余类分类器 precision/F1 偏低（金融残余 F1 0.648、医疗残余 precision 0.529），缺口与分类器误判在本数据里分不开,runs/<run>/gen01/topdown_metrics.json; dom_med.md §4.5（修订后）,引用复核后的三块拆解
五域 AMI 与对照的关系,AMI_td 全部低于对照 0.7742（0.5897–0.7437）；AMI_bu 有两个高于对照 0.6873（金融 0.7253、教育 0.7126）,work/taxonomy_delta_summary.csv,直接读取
跨领域检验一：助手行占比与位移无关,Spearman(n=5)：AMI_td ρ=−0.70 p=0.19；AMI_bu ρ=+0.20 p=0.75；ARI_td ρ=−0.50 p=0.39。助手行占比 金融 12.81%、医疗 12.88% vs 教育 8.39%、人物 8.43%、影视 8.83%,work/taxonomy_delta_summary.csv,"scipy.stats.spearmanr(assistant_rows/(matched_search_rows+assistant_rows), 指标)"
跨领域检验二：造类最多的领域位移最小,金融 4 个类过半是助手行（五域最多），AMI_bu 0.7253 五域最高且高于对照；医疗 0 个，AMI_bu 0.5158 反而低,work/taxonomy_delta_summary.csv: classes_majority_assistant / AMI_bu,直接读取
一个与助手行无关的替代解释（人物）,"账本记为 declined 的 P002 实际把 24 个叶并进叶 1、移动 12,372 行、全语料 12,389 行换叶（56.7%）",runs/ppl-pool5b/gen01/governance.json: execution.leaf_merges; leaf_labels.npy vs leaf_labels_final.npy; dom_ppl.md §1.2e,引用复核确认的逐行比对结果
Q6 的结论,"测不出：既不能说体系被助手行改变了，也不能说没有改变。对照与五域在语料、行数（9,999 vs ~20,000）、类数方向（−3 vs 0…+4）三件事上同时不同，单点构不成带宽",work/taxonomy_delta_summary.csv,综合上述三项
时间线的精确分解（五域验算通过）,"TVD(时间) = 换血率 × TVD(掉榜构成, 新进构成)；重建误差五域均 <0.002",cross/synthesis_derived.csv 块 `C 时间线分解`,p5_synthesis_recompute.py: c_time()，带 assert；输入为 work/<domain>/turnover_classes.csv
"换血率与 TVD(掉榜,新进)",影视 71.6% × 0.1033 = 0.0739；人物 55.0% × 0.4657 = 0.2561；金融 45.5% × 0.3178 = 0.1446；医疗 36.7% × 0.2452 = 0.0899；教育 32.8% × 0.2900 = 0.0953,cross/synthesis_derived.csv 块 `C`; work/<domain>/turnover_classes.csv; overlap.csv,留存/掉榜/新进三桶的类目分布 + 桶大小
换血最多的领域时间差异最小,影视换血 71.6%（五域最多）而时间 TVD 0.0739（五域最小）；新进 vs 掉榜最大项是 网盘渠道 +4.0pp、频道直播 +3.2pp、裸片名 +2.5pp，掉榜最大项 在线播放入口 −6.4pp,work/影视/turnover_classes.csv,新进 share − 掉榜 share，取绝对值最大的三项
人物时间线异常的来源,"新进 5,489 条里 45.91% 是 人物档案调阅，掉榜 5,490 条里只有 11.20%；2,085 条 2026 新后缀串里只有 285 条（13.67%）的裸名核心曾在 2025 榜上；裸名 −19.64pp 与 档案 +19.09pp 净剩 −0.55pp",work/人物/turnover_classes.csv; dom_ppl.md §3.1（修订 B-1/B-6 后的值）,前者直接读取，后者引用复核值
两年 pv 水位五域均不可比,"医疗 973.7万→520.9万、教育 −48.1%、人物 −21.8%、金融 809万→1,090万",cross/composition_all.csv: pv_raw,按域按来源求和后比较；本文一切时间结论用行占比
启示①的量级差异,个案判断与建议在深度线：医疗 +25.5pp（336 行）vs 人物 +2.0pp（20 行）——方向五域一致，量级差一个数量级,cross/synthesis_derived.csv 块 `B 统一13类Δ·深度`,同上
启示②的辅助测量,td_confidence_mean 搜索 0.826–0.914 > 助手头部 0.781–0.809 > 助手长尾 0.520–0.652（5/5 单调）,cross/fit_all.csv: td_confidence_mean,按域按来源读取并排序
启示⑥成立范围,金融/医疗/影视/人物做过召回或口径检验；教育只做了词面命中，此条在教育上未经检验,"dom_{fin,med,film,ppl}.md §6; dom_edu.md §6.1",逐份核对是否存在召回检验
启示⑦成立范围,人物、影视两域有逐行证据（人物空成人类 0 行、4 条正例散进 4 类；影视机检落在播放入口282/网盘213/站点导航147/裸片名116）；金融、医疗、教育未做同一检验,dom_ppl.md §1.2a/§6.2; dom_film.md §7④,引用复核后的领域结论
本文证据最弱的一处,§4.2 把「拟合残差 0.174–0.239」与「原始 TVD 的置换上界 0.118/0.126」并排比较，两者口径不同；且语音抽样口径导出方未说明，是全节未验证的前提,cross/synthesis_derived.csv 块 `D`; cross/tvd_ci.csv: null_p95; work/date_evidence.md,自陈
四张 cross 表被逐域覆盖,vs_unified_summary.csv / vs_unified_splits.csv / vs_unified_classmix.csv / turnover_summary.csv 的落盘版本只剩人物一域,cross/*.csv,本文对应数值全部由 work/<domain>/ 分域文件按同一判据自行复算
本轮与独立复核表唯一不一致的一处（已按实测取值）,"复核表称界面·会话与系统指令 2/5 显著、界面·生成与编辑 3/5 显著，并给出 人物 0→4 区间 [−0.25,+0.73]、医疗 0→2 [−0.34,+0.37]、金融 0→1 [−0.38,+0.20]。逐格重算复现不出：pooled5_common.newcombe 给 [+0.17,+1.15] / [+0.05,+0.76] / [+0.01,+0.59]；把 Newcombe 上下界的贡献项对调后恰好得到复核表的三个区间，即其实现写反了。Fisher 精确检验：人物 p=4.4e−05、医疗 p=0.0076 显著，金融 0→1 p=0.087 不显著。故正文写「方向 4/5 显著」；但复核的降级结论整条成立，因为它由 20 行最小格子独立支撑",cross/synthesis_derived.csv 块 `F 小格子复核`; analysis/pooled5/pooled5_common.py: newcombe/wilson,pooled5_common.newcombe（标准 Newcombe hybrid-score）+ scipy.stats.fisher_exact，逐格并列
