id,query,majority,votes,tier,pv_raw,n_days,daily_cv,in_other_source,legacy_l2,legacy_l3
A0131,28岁,A,AAA,H1_intake_answer,1944.0,7,0.09473683189221623,False,医疗其它,-
A0133,2个,A,AAA,user,1570.0,7,0.09164451975284858,False,医疗其它,-
A0138,2小时以上,A,AAA,H1_intake_answer,3474.0,7,0.043266077669674004,False,医疗其它,-
A0145,3-4天,A,AAA,H1_intake_answer,2945.0,7,0.08739527939912335,False,医疗其它,-
A0147,3-5厘米,A,AAA,user,1502.0,6,0.07013152640353498,False,医疗其它,-
A0148,3-5天,A,AAA,H1_intake_answer,8763.0,7,0.039664522032533116,False,医疗其它,-
A0153,3-7天,A,AAA,H1_intake_answer,21751.0,7,0.04546394382758088,False,医疗其它,-
A0155,3.4-4.9,A,AAA,user,459.0,2,0.10675381263616558,False,医疗其它,-
A0156,30-40岁,A,AAA,H1_intake_answer,3956.0,7,0.11436359176729459,False,医疗其它,-
A0159,30-60分,A,AAA,user,1573.0,6,0.10056765428834312,False,医疗其它,-
A0162,30分钟以上,A,AAA,user,2331.0,7,0.08300465442093245,False,医疗其它,-
A0169,32岁,A,AAA,H1_intake_answer,1966.0,7,0.10330669385345831,False,医疗其它,-
A0171,34岁,A,AAA,H1_intake_answer,2168.0,7,0.06805029849879007,False,医疗其它,-
A0172,35-45岁,A,AAA,H1_intake_answer,1487.0,6,0.05329708150927924,False,医疗其它,-
A0175,37.3-38℃,A,AAA,user,3011.0,7,0.056283547430926235,False,医疗其它,-
A0181,38℃以上,A,AAA,user,1262.0,5,0.14384934614586317,False,医疗其它,-
A0182,38℃以下,A,AAA,user,5138.0,7,0.09641311178721598,False,医疗其它,-
A0185,39℃以上,A,AAA,user,2272.0,7,0.05880123553579132,False,医疗其它,-
A0186,39岁,A,AAA,H1_intake_answer,3003.0,7,0.06790267919267304,False,医疗其它,-
A0190,3天以上,A,AAA,H1_intake_answer,23338.0,7,0.08686757504177153,False,医疗其它,-
A0192,3天内,A,AAA,H1_intake_answer,19843.0,7,0.0941220201520461,False,医疗其它,-
A0194,3岁以上,A,AAA,H1_intake_answer,6599.0,7,0.08679364372013103,False,医疗其它,-
A0213,40岁以下,A,AAA,H1_intake_answer,3371.0,7,0.06374133935142089,False,医疗其它,-
A0214,41-60岁,A,AAA,H1_intake_answer,3836.0,7,0.18521159392914846,False,医疗其它,-
A0216,42岁,A,AAA,H1_intake_answer,2563.0,7,0.07189681575037041,False,医疗其它,-
A0217,43岁,A,AAA,H1_intake_answer,2490.0,7,0.04942207249129369,False,医疗其它,-
A0218,44岁,A,AAA,H1_intake_answer,2311.0,7,0.05363548397177384,False,医疗其它,-
A0219,45-60岁,A,AAA,H1_intake_answer,2927.0,7,0.0905576552230606,False,医疗其它,-
A0231,4至7天,A,AAA,H1_intake_answer,304.0,1,,False,医疗其它,-
A0237,50-59,A,AAA,user,853.0,4,0.05340230702898183,False,医疗其它,-
A0238,50-60岁,A,AAA,H1_intake_answer,1758.0,7,0.07114674454495823,False,医疗其它,-
A0252,59岁,A,AAA,H1_intake_answer,2176.0,7,0.05915291510920621,False,医疗其它,-
A0256,5年以上,A,AAA,H1_intake_answer,4319.0,7,0.04895310833606226,False,医疗其它,-
A0260,6-12小时,A,AAA,H1_intake_answer,623.0,3,0.022356963526780287,False,医疗其它,-
A0264,6-7小时,A,AAA,H1_intake_answer,1623.0,7,0.05663154796340632,False,医疗其它,-
A0266,6.1-7.0,A,AAA,user,1745.0,6,0.08728867893566013,False,医疗其它,-
A0267,60-89,A,AAA,user,693.0,3,0.07303925388077208,False,医疗其它,-
A0273,63岁,A,AAA,H1_intake_answer,2744.0,7,0.024316074807014983,False,医疗其它,-
A0274,64岁,A,AAA,H1_intake_answer,2136.0,7,0.07295263434393569,False,医疗其它,-
A0277,65岁及以上,A,AAA,user,9214.0,7,0.06327188358628894,False,疾病知识,无明确科室-症状
A0282,6个月-1年,A,AAA,user,1137.0,5,0.05266773938990279,False,医疗其它,-
A0283,6个月-2年,A,AAA,H1_intake_answer,8669.0,7,0.11265017718285604,False,医疗其它,-
A0284,6个月以上,A,AAA,H1_intake_answer,36128.0,7,0.030384678741736146,False,医疗其它,-
A0291,7-10,A,AAA,user,3404.0,7,0.16004025223409518,False,医疗其它,-
A0295,70岁,A,AAA,H1_intake_answer,2062.0,7,0.04703420700758228,False,医疗其它,-
A0297,71岁,A,AAA,H1_intake_answer,1100.0,5,0.03670296225124791,False,疾病知识,无明确科室-症状
A0299,73岁,A,AAA,H1_intake_answer,833.0,4,0.04721719193108556,False,医疗其它,-
A0300,74岁,A,AAA,H1_intake_answer,196.0,1,,False,医疗其它,-
A0304,"7天以上,都没有",A,AAA,H1_intake_answer,1755.0,7,0.051465326188385806,False,医疗其它,-
A0305,7天内,A,AAA,H1_intake_answer,2141.0,7,0.1135742630118707,False,医疗其它,-
A0307,8-14天,A,AAA,H1_intake_answer,8095.0,7,0.08784684904223855,False,医疗其它,-
A0309,90-99,A,AAA,user,3895.0,7,0.040765820439709964,False,医疗其它,-
A0318,一阵一阵,A,AAA,user,4943.0,7,0.07852872539403485,False,医疗其它,-
A0326,上背部,A,AAA,user,1762.0,6,0.13202523219978565,False,疾病知识,外科-科普
A0328,上腹部,A,AAA,user,6226.0,7,0.11591902567596982,False,疾病知识,无明确科室-科普
A0330,上腹隐痛,U,AUU,user,1271.0,6,0.04037196415630998,False,疾病知识,无明确科室-症状
A0333,下牙疼,U,UUU,user,203.0,1,,False,疾病知识,口腔科-症状
A0334,下牙痛,U,UUU,user,1157.0,4,0.33222015513759623,False,疾病知识,口腔科-症状
A0343,不加糖,A,AAA,user,833.0,4,0.04246035818445953,False,医疗其它,-
A0345,不固定,A,AAA,user,3061.0,7,0.026688844515517937,False,医疗其它,-
A0348,不影响日常,A,AAA,user,337.0,1,,False,医疗其它,-
A0356,"不清楚,不清楚,不清楚",A,AAA,H1_intake_answer,5487.0,7,0.1093900659347517,False,医疗其它,-
A0359,"不清楚,正常",A,AAA,H1_intake_answer,1902.0,7,0.11463548588827147,False,疾病知识,无明确科室-症状
A0361,"不清楚,都不是",A,AAA,H1_intake_answer,203.0,1,,False,医疗其它,-
A0364,不痒,A,AAA,user,2844.0,7,0.2320579207838319,False,疾病知识,皮肤科-科普
A0373,不足1周,A,AAA,user,2415.0,7,0.1242856987655231,False,医疗其它,-
A0376,与进食无关,A,AAA,user,1681.0,6,0.09580587851013182,False,医疗其它,-
A0378,两侧都有,A,AAA,user,1427.0,6,0.1013019949955785,False,医疗其它,-
A0384,"两者都有,都没有",A,AAA,H1_intake_answer,1118.0,5,0.09849563363166179,False,医疗其它,-
A0390,中年人,A,AAA,user,6392.0,6,0.2270397515821458,False,医疗其它,-
A0394,中度疼痛,A,AAA,user,6698.0,7,0.025983051559041015,False,疾病知识,无明确科室-症状
A0395,中成药,A,AAA,user,1657.0,7,0.10245650768415515,False,药品保健品,-
A0410,中间,A,AAA,user,754.0,3,0.24389484103334622,False,医疗其它,-
A0413,为什么瘦子也有脂肪肝,P,PPU,user,1014.0,3,0.518458238383999,False,疾病知识,内科-科普
A0415,主要功效,F,FFF,user,871.0,4,0.08960374155612105,False,养生知识,-
A0419,久坐办公室腰疼该怎么缓解,P,PPP,user,314.0,1,,False,疾病知识,外科-治疗
A0428,仅一次,A,AAA,user,204.0,1,,False,医疗其它,-
A0436,今天刚发现,A,AAA,user,2285.0,7,0.07282412471363532,False,医疗其它,-
A0445,从未接种,A,AAA,user,1840.0,7,0.13487899779197882,False,医疗其它,-
A0446,从未服用,A,AAA,user,2212.0,7,0.15730290232862226,False,药品保健品,-
A0447,从来没有,A,AAA,user,1132.0,5,0.0705940389540885,False,医疗其它,-
A0448,他汀类,A,AAU,user,403.0,2,0.0024813895781637717,False,药品保健品,-
A0449,以上均不属于,A,AAA,user,5307.0,7,0.04208709586075362,False,医疗其它,-
A0450,以上均无,A,AAA,H1_intake_answer,3140.0,7,0.27496233223745103,False,医疗其它,-
A0453,以上都有,A,AAA,user,407.0,2,0.02702702702702703,False,医疗其它,-
A0455,以上都没有，以上都没有,A,AAA,H1_intake_answer,200.0,1,,False,医疗其它,-
A0458,低于120,A,AAA,user,893.0,4,0.03805743665837946,False,医疗其它,-
A0459,低于140,A,AAA,user,1826.0,7,0.10563164537681871,False,医疗其它,-
A0460,低于20,A,AAA,user,196.0,1,,False,医疗其它,-
A0463,低于38度,A,AAA,user,1632.0,6,0.10298493467722789,False,疾病知识,无明确科室-症状
A0468,低热37.3-38℃,A,AAA,user,620.0,3,0.02630565553274208,False,疾病知识,无明确科室-症状
A0469,低血压昏迷前兆,U,UUU,user,2745.0,7,0.34227566455807373,False,疾病知识,内科-症状
A0476,体检报告写增大是不是要动手术,P,PPP,user,265.0,1,,False,疾病知识,体检科-科普
A0480,体检报告提示幽门螺杆菌阳性怎么办,P,PPP,user,3826.0,6,0.6120983081891296,False,疾病知识,内科-治疗
A0487,体检报告颈动脉斑块需要吃药吗,P,PPP,user,557.0,1,,False,疾病知识,体检科-科普
A0488,体检指标偏高一点需要处理吗,P,PPP,user,222.0,1,,False,疾病知识,体检科-科普
A0490,体重下降,U,AUU,user,7809.0,7,0.04159716537422716,False,疾病知识,无明确科室-症状
A0495,体重稳定,A,AAA,user,612.0,3,0.031260010571419916,False,疾病知识,无明确科室-科普
A0496,体重突然变化应该先看什么方向,P,PPP,user,1402.0,4,0.4464594143901336,False,疾病知识,无明确科室-科普
A0500,你好好,C,CCC,C1_content_free,227.0,1,,False,医疗其它,-
A0518,偶尔偏高,A,AAA,user,5660.0,7,0.03939810484825992,False,疾病知识,无明确科室-症状
A0524,偶尔影响,A,AAA,user,671.0,3,0.06262861815037465,False,医疗其它,-
A0526,偶尔轻微不适,A,AAA,user,1325.0,6,0.09196714939680214,False,疾病知识,无明确科室-症状
A0530,儿童如何调整开学作息,P,PPP,user,196.0,1,,False,医疗其它,-
A0547,关节炎疼痛加重该怎么应对,P,PPP,user,415.0,1,,False,疾病知识,外科-治疗
A0548,关节疼痛,U,AUU,user,6149.0,7,0.0653870013685047,False,疾病知识,外科-症状
A0557,其他部位,A,AAA,user,6774.0,7,0.04128545319026138,False,医疗其它,-
A0571,几个月,A,AAA,user,410.0,2,0.04878048780487805,False,医疗其它,-
A0577,几分钟内,A,AAA,user,2919.0,7,0.11198222792909546,False,医疗其它,-
A0578,几分钟内缓解,A,AAA,user,3775.0,7,0.14787911904455128,False,疾病知识,无明确科室-科普
A0583,几秒钟,A,AAA,user,3265.0,7,0.056233639271719364,False,医疗其它,-
A0595,功效,F,FFF,user,4031.0,6,0.32217423325225725,False,医疗其它,-
A0596,功效主治,F,FFF,user,1596.0,6,0.16396897139858557,False,药品保健品,-
A0600,助消化,A,AAA,user,1825.0,7,0.07433902145384318,False,疾病知识,内科-治疗
A0614,单只手麻,A,AAU,user,966.0,4,0.22155143972314542,False,疾病知识,无明确科室-症状
A0615,单只脚,A,AAA,user,1287.0,5,0.24450968799602862,False,疾病知识,外科-症状
A0619,双侧,A,AAA,user,6432.0,7,0.04190211102225144,False,疾病知识,无明确科室-科普
A0623,双眼都有,A,AAA,user,415.0,2,0.05542168674698795,False,医疗其它,-
A0624,双脚,A,AAA,user,1269.0,5,0.16741342837527295,False,医疗其它,-
A0627,反酸,U,AUU,user,3508.0,7,0.053558421402668005,False,疾病知识,内科-症状
A0632,口干,U,AUU,user,2682.0,7,0.040420075265824466,False,疾病知识,无明确科室-症状
A0639,口腔溃疡,U,UUU,user,3264.0,7,0.05006918632130299,True,疾病知识,口腔科-疾病名
A0643,可威磷酸奥司他韦胶囊,U,UUU,user,1067.0,3,0.3774723126351938,True,药品保健品,-
A0644,台风天停电食物变质怎么判断,P,PPP,user,979.0,3,0.257713388203442,False,医疗其它,-
A0648,右侧,A,AAA,user,5135.0,7,0.09327347389635791,False,疾病知识,无明确科室-症状
A0659,听力下降,U,AUU,user,2035.0,7,0.07771899198984371,False,疾病知识,耳鼻咽喉科-症状
A0661,呕吐,U,AUU,user,1901.0,7,0.05493015247640868,False,疾病知识,无明确科室-症状
A0662,周围神经病风险自测,P,PPP,user,750.0,2,0.18666666666666668,False,疾病知识,精神科-科普
A0663,周末补觉越睡越累是怎么回事,P,PPP,user,266.0,1,,False,疾病知识,无明确科室-症状
A0664,周末身体不适如何判断是否需要急诊,P,PPP,user,203.0,1,,False,疾病知识,无明确科室-科普
A0665,呼吸困难,U,AUU,user,4702.0,7,0.026172046044942856,False,疾病知识,内科-症状
A0667,和平时一样,A,AAA,user,2488.0,7,0.08367661397342405,False,医疗其它,-
A0672,咳嗽痰多,U,AUU,user,1085.0,5,0.053344870519770625,False,疾病知识,无明确科室-症状
A0673,咳痰,U,AUU,user,401.0,2,0.012468827930174564,False,疾病知识,无明确科室-症状
A0676,咽痛,U,AUU,user,3013.0,7,0.08966943843206421,False,疾病知识,耳鼻咽喉科-症状
A0677,哪些习惯加重秋季过敏,P,PPP,user,964.0,1,,False,疾病知识,皮肤科-科普
A0680,喝酒后剧烈运动为什么容易诱发猝死,P,PPP,user,5027.0,7,0.38169750762787635,False,疾病知识,内科-科普
A0683,嘴唇被磕破裂开多深需要缝针,P,PPP,user,1910.0,5,0.3132754352230493,False,疾病知识,外科-科普
A0684,四肢,A,AAA,user,4275.0,7,0.06197991778204624,False,医疗其它,-
A0688,均无,A,AAA,user,2161.0,7,0.05809293781203226,False,医疗其它,-
A0695,基本稳定,A,AAA,user,7328.0,7,0.08629462091433666,False,医疗其它,-
A0697,增强免疫力,A,AAA,user,2897.0,7,0.13875393446508688,False,养生知识,-
A0700,夏天学生出门如何选择防晒方式,P,PPP,user,2901.0,6,0.24952173595815474,False,医疗其它,-
A0702,夏天蚊子叮咬后红肿越来越大怎么办,P,PPP,user,697.0,2,0.24533715925394547,False,疾病知识,皮肤科-症状
A0705,夏季大量出汗后如何科学补充水分,P,PPP,user,199.0,1,,False,养生知识,-
A0707,外地就医前如何先准备病情资料,P,PPP,user,482.0,2,0.004149377593360996,False,医疗服务,综合医院
A0710,外阴痒,U,UUU,user,199.0,1,,False,疾病知识,妇产科-症状
A0712,多个,A,AAA,user,1119.0,5,0.10680579923738096,False,医疗其它,-
A0713,多久能完全恢复？,P,PPP,user,201.0,1,,False,疾病知识,无明确科室-科普
A0714,多梦易醒,A,AAU,user,1031.0,5,0.046252644103070284,False,医疗其它,-
A0715,多饮多尿,U,AUU,user,1713.0,7,0.0763469128979419,False,疾病知识,无明确科室-症状
A0718,夜间明显,A,AAA,user,1820.0,7,0.1340884506402293,False,疾病知识,无明确科室-症状
A0731,大于5厘米,A,AAA,H1_intake_answer,1951.0,6,0.14333022298395515,False,医疗其它,-
A0732,大于60岁,A,AAA,H1_intake_answer,9620.0,7,0.4324659150638908,False,疾病知识,无明确科室-科普
A0740,天一热就不想吃饭怎么办,P,PPP,user,1777.0,5,0.6418282637661601,False,疾病知识,无明确科室-症状
A0742,天旋地转,A,AAA,user,2386.0,7,0.07565397632554118,False,医疗其它,-
A0743,天旋地转的晕,A,AAA,user,198.0,1,,False,疾病知识,无明确科室-症状
A0752,头晕天旋地转是怎么回事,P,PPU,user,1526.0,4,0.44590807971171037,False,疾病知识,无明确科室-症状
A0753,头晕头痛,U,AUU,user,5676.0,7,0.04578250556262056,False,疾病知识,无明确科室-症状
A0755,头痛,U,UUU,user,8192.0,7,0.04741956375246402,False,疾病知识,无明确科室-症状
A0757,头痛头晕,U,AUU,user,3215.0,7,0.03670559075333674,False,疾病知识,无明确科室-症状
A0760,头顶,A,AAA,user,1736.0,6,0.1465490318740827,False,疾病知识,皮肤科-科普
A0765,好,C,CCC,C1_content_free,3933.0,7,0.09603649380601911,False,医疗其它,-
A0766,好的,C,CCC,C1_content_free,8638.0,7,0.09226462220048084,False,医疗其它,-
A0771,如何判断体检异常结果是否严重,P,PPP,user,1745.0,7,0.1077821033297226,False,疾病知识,体检科-科普
A0772,如何判断家人是否需要看心理医生,P,PPP,user,2288.0,4,0.6545014199072223,False,医疗其它,-
A0776,如何辨别甲醛白菜,P,PPP,user,158713.0,6,0.20994125178710435,False,医疗其它,-
A0783,学生开学焦虑怎么办,P,PPP,user,561.0,1,,False,医疗其它,-
A0784,学生游泳后耳朵进水如何处理,P,PPP,user,2517.0,6,0.5305629312819742,False,疾病知识,耳鼻咽喉科-治疗
A0793,安静时,A,AAA,user,1781.0,7,0.09406797920006049,False,医疗其它,-
A0796,完全不痛,A,AAA,user,2144.0,7,0.07107633560759782,False,医疗其它,-
A0797,完全无症状,A,AAA,user,1038.0,5,0.04851513800390818,False,疾病知识,无明确科室-症状
A0800,完全没有,A,AAA,user,3198.0,7,0.0634656193947868,False,医疗其它,-
A0802,宝宝发热时哪些情况需要及时就医,P,PPP,user,1656.0,5,0.4108384300358186,False,疾病知识,儿科-科普
A0806,家里老人便秘严重该怎么调理,P,PPP,user,932.0,4,0.07831883086220884,False,疾病知识,内科-治疗
A0810,家里闻到刺激性气味中毒了怎么紧急处理,P,PPP,user,849.0,3,0.23133409616018247,False,疾病知识,无明确科室-治疗
A0813,容易疲劳,U,AUU,user,4089.0,7,0.06920877955417133,False,疾病知识,无明确科室-症状
A0818,小于1厘米,A,AAA,H1_intake_answer,8402.0,7,0.0680767399318599,False,医疗其它,-
A0822,小于3个月,A,AAA,H1_intake_answer,1808.0,6,0.23597494892734364,False,医疗其它,-
A0824,小于40岁,A,AAA,H1_intake_answer,450.0,2,0.1111111111111111,False,疾病知识,无明确科室-症状
A0825,小于45岁,A,AAA,H1_intake_answer,1082.0,4,0.30831105902440753,False,疾病知识,儿科-症状
A0826,小于50岁,A,AAA,H1_intake_answer,4438.0,6,0.24656715866589413,False,疾病知识,精神科-症状
A0827,小于5mm,A,AAA,H1_intake_answer,2841.0,7,0.20048779107008088,False,医疗其它,-
A0833,小儿烫伤风险自测,P,PPP,user,3520.0,5,0.23624512162089067,False,疾病知识,儿科-科普
A0834,小儿自闭风险自测,P,PPP,user,6022.0,6,0.27453264951707557,False,疾病知识,儿科-科普
A0846,少量渗血,A,AAA,user,1839.0,7,0.03837363515905894,False,疾病知识,内科-症状
A0849,少量血丝,A,AAA,user,1328.0,6,0.048916812556962994,False,疾病知识,无明确科室-症状
A0852,尚未开始,A,AAA,user,4428.0,7,0.1361914076324686,False,医疗其它,-
A0866,居民医保,A,AAA,user,2824.0,7,0.0847952892210394,False,医疗其它,-
A0868,工作压力大怎么调整心态,P,PPP,user,1618.0,5,0.46111688892428815,False,医疗其它,-
A0873,左下腹,A,AAA,user,1767.0,7,0.06788813021902898,False,疾病知识,无明确科室-症状
A0875,左边疼,A,AAA,user,1377.0,5,0.3273021197037224,False,疾病知识,无明确科室-症状
A0877,已做,A,AAA,user,807.0,4,0.006438850585757909,False,医疗其它,-
A0887,已检查,A,AAA,user,865.0,4,0.06377270943260255,False,医疗其它,-
A0895,已绝经,A,AAA,user,4104.0,7,0.045855602324357675,False,疾病知识,妇产科-症状
A0897,常规体检,A,AAA,user,6251.0,7,0.0708742580917774,False,疾病知识,体检科-科普
A0898,干咳,U,AUU,user,4101.0,7,0.15083890098378136,False,疾病知识,内科-症状
A0900,干咳无痰,A,AAU,user,9410.0,7,0.040500694179777655,False,疾病知识,内科-症状
A0907,开学后白天总犯困怎么办,P,PPP,user,277.0,1,,False,疾病知识,无明确科室-症状
A0908,开学后积食要如何调理,P,PPP,user,562.0,1,,False,疾病知识,内科-治疗
A0918,很少运动,A,AAA,user,1415.0,6,0.06399955674158829,False,医疗其它,-
A0925,心慌胸闷,U,AUU,user,1986.0,7,0.059150755913749894,False,疾病知识,内科-症状
A0928,心脏病,U,UUU,user,1012.0,5,0.024920000420787534,False,疾病知识,内科-疾病名
A0933,怎么判断自己有艾滋病,P,PPU,user,24933.0,7,0.11328633881189322,False,疾病知识,皮肤科-科普
A0937,怕冷,U,AUU,user,2265.0,7,0.07187117260971174,False,疾病知识,无明确科室-症状
A0938,怕冷手脚凉,U,AUU,user,1616.0,7,0.07123059674023105,False,疾病知识,无明确科室-症状
A0939,急性发作期,A,AAA,user,1719.0,7,0.06337959837098242,False,疾病知识,内科-科普
A0956,我想了解对乙酰氨基酚,W,WWW,user,2350.0,7,0.07533477419363982,False,药品保健品,-
A0966,我想了解糠酸莫米松乳膏,W,WWW,user,654.0,3,0.03801162964726622,False,药品保健品,-
A0970,我想了解胃食管反流,W,WWW,user,2283.0,7,0.03972241453790498,False,疾病知识,内科-治疗
A0978,我想咨询3个多月做人流还是引产,W,WWW,H4_template_wrapper,454.0,2,0.06167400881057269,False,疾病知识,妇产科-科普
A0981,我想咨询下面一阵一阵舒服感怎么办,W,WWW,H4_template_wrapper,1695.0,6,0.07178513200238316,False,疾病知识,无明确科室-症状
A0983,我想咨询中药（黄精）什么功效,W,WWW,H4_template_wrapper,2536.0,7,0.06439166992560527,False,药品保健品,-
A0984,我想咨询丹利诺泰的功效,W,WWW,H4_template_wrapper,203.0,1,,False,药品保健品,-
A0990,我想咨询低压高什么原因,W,WWW,H4_template_wrapper,1652.0,7,0.09509991549003438,False,疾病知识,内科-症状
A0994,我想咨询前列腺炎吃什么药,W,WWW,H4_template_wrapper,277.0,1,,False,药品保健品,-
A1000,我想咨询吃西梅的好处与坏处,W,WWW,H4_template_wrapper,321.0,1,,False,养生知识,-
A1003,我想咨询女人高潮潮吹从哪喷的水？,W,WWW,H4_template_wrapper,255.0,1,,False,医疗其它,-
A1005,我想咨询女性三角毛毛区长了个黑色的疙瘩,W,WWW,H4_template_wrapper,229.0,1,,False,疾病知识,皮肤科-症状
A1011,我想咨询怀孕初期症状有哪些征兆,W,WWW,H4_template_wrapper,206.0,1,,False,疾病知识,妇产科-症状
A1018,我想咨询有癫痫病的人不能吃哪些东西,W,WWW,H4_template_wrapper,324.0,1,,False,疾病知识,内科-科普
A1020,我想咨询正常血压是多少,W,WWW,H4_template_wrapper,1120.0,5,0.07120500727634602,False,疾病知识,无明确科室-身体指标
A1026,我想咨询爆❌喷水❌洗澡❌孕,W,WWW,H4_template_wrapper,1345.0,5,0.2222041024537474,False,医疗其它,-
A1033,我想咨询百香果功效与作用,W,WWW,H4_template_wrapper,451.0,2,0.028824833702882482,False,养生知识,-
A1034,我想咨询百香果直接吃可以不,W,WWW,H4_template_wrapper,420.0,2,0.047619047619047616,False,养生知识,-
A1039,我想咨询石榴的功效,W,WWW,H4_template_wrapper,201.0,1,,False,养生知识,-
A1050,我想咨询肺结节吃什么可以散结,W,WWW,H4_template_wrapper,457.0,2,0.07658643326039387,False,疾病知识,内科-科普
A1065,我想咨询阿托伐他汀能长期吃吗,W,WWW,H4_template_wrapper,986.0,4,0.1372282537572645,False,药品保健品,-
A1077,手或手指,A,AAA,user,450.0,2,0.05333333333333334,False,医疗其它,-
A1078,手指,A,AAA,user,1207.0,5,0.09172064625085698,False,疾病知识,外科-科普
A1083,手部,A,AAA,user,2375.0,7,0.17263568672904794,False,疾病知识,外科-科普
A1084,手麻无力时如何判断是否和颈椎有关,P,PPP,user,581.0,2,0.09466437177280551,False,疾病知识,外科-科普
A1092,打算喝酒,A,AAA,user,283.0,1,,False,医疗其它,-
A1097,担心感染疾病但不想去医院怎么办,P,PPP,user,355.0,1,,False,疾病知识,无明确科室-症状
A1101,持续,A,AAA,user,1522.0,7,0.047406449428508406,False,医疗其它,-
A1103,持续不缓解,A,AAA,user,2415.0,7,0.08566326083513756,False,疾病知识,无明确科室-症状
A1108,持续数小时,A,AAA,user,2329.0,7,0.12691462746685742,False,疾病知识,无明确科室-症状
A1110,持续隐痛,A,AAA,user,2468.0,7,0.0753908042722245,False,疾病知识,无明确科室-症状
A1113,指标正常,A,AAA,user,1560.0,7,0.07060017898594033,False,疾病知识,无明确科室-身体指标
A1119,排便困难,U,AUU,user,1297.0,6,0.047659396948421244,False,疾病知识,内科-症状
A1123,排除以上情况,A,AAA,user,2389.0,7,0.059199843921453964,False,医疗其它,-
A1128,控制体重,A,AAA,user,4122.0,7,0.043489851218430964,False,养生知识,-
A1133,推不动,A,AAA,user,198.0,1,,False,医疗其它,-
A1137,无,A,AAA,H1_intake_answer,46462.0,7,0.03800636296106427,False,医疗其它,-
A1144,无不适感,A,AAA,user,4742.0,7,0.09213904138256232,False,疾病知识,精神科-症状
A1149,无出血,A,AAA,H1_intake_answer,13823.0,7,0.07214854809251021,False,疾病知识,妇产科-症状
A1153,无发红发热,A,AAA,user,202.0,1,,False,疾病知识,无明确科室-症状
A1155,无呕吐,A,AAA,user,2347.0,7,0.19068690957962212,False,疾病知识,内科-症状
