claim,value,source_table,how_computed
时间线·查询录取分数线与录取数据,"4.16%→2.34%，Δ=-1.82pp [-2.32,-1.33]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=查询录取分数线与录取数据 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·无意图或上下文依赖的残余查询,"10.35%→11.77%，Δ=+1.42pp [+0.55,+2.29]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=无意图或上下文依赖的残余查询 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·导航至官方招考政务门户与登录入口,"3.02%→4.25%，Δ=+1.22pp [+0.71,+1.75]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=导航至官方招考政务门户与登录入口 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·查询汉字笔顺写法,"1.3%→2.49%，Δ=+1.19pp [+0.82,+1.58]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=查询汉字笔顺写法 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·求生肖谜语博彩谜底,"1.76%→2.71%，Δ=+0.94pp [+0.53,+1.36]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=求生肖谜语博彩谜底 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线所有显著差异均 <4pp,最大 +3.34pp（查询汉字或词语读音）,analysis/pooled5/work/教育/diffs_td_l1_name.csv,对 a=2025search&b=2026search&sig=True 的 15 行取 |diff_pp| 最大值 = 3.3437
2026 搜索 PV 总量较 2025 腰斩,"28,482,018 → 14,782,400（−48.1%）",analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,df[df.source=='2025search'].pv_raw.sum() 与 2026search 同法；(14782400-28482018)/28482018=-0.481
PV 中位与第一万名门槛同步减半,中位 1544→776；最小值（第1万名）910→477,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,按 source 取 pv_raw.median() 与 pv_raw.min()
对照·等 PV 门槛（≥910）下的 TVD,0.2000（2026 仅剩 3970 行，属深度差不可用）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,a=df[(source==2025search)]、b=df[(source==2026search)&(pv_raw>=910)]；各自 td_l1_name.value_counts(normalize=True)，TVD=0.5*Σ|pa-pb|
对照·等秩（各取 PV 前 3970 名）下的 TVD,0.1005（对比全量 0.0953）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"a3=a.nlargest(3970,'pv_raw')、b3=b.nlargest(3970,'pv_raw')，同法算 TVD"
等秩对照下主要变动方向一致,读音 +3.45pp、翻译 −3.78pp、裸校名 −2.70pp、分数线 −1.16pp,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,在上一条的 a3/b3 上按 td_l1_name 求 value_counts(normalize=True)*100 后相减
2025 头部串在 2026 仍出现的比例,67.09%（6702/9989 个不同串）,analysis/pooled5/work/教育/overlap.csv,overlap.csv 行=2025search 列=2026search 值 0.6709；自算：len(set25&set26)/len(set25)=6702/9989
2026 新进行数及其构成,3278 行（32.8%）；读音16.5%/残余15.0%/翻译8.5%/生肖8.1%/招考门户6.6%,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,new=df[(source=='2026search') & ~query.isin(set(2025search.query))]；len(new)=3278；new.td_l1_name.value_counts(normalize=True)
界面线·无意图或上下文依赖的残余查询,"11.77%→61.93%，Δ=+50.16pp [+46.80,+53.41]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=无意图或上下文依赖的残余查询 & sig=True
界面线·按裸校名检索院校信息,"21.48%→0.35%，Δ=-21.13pp [-21.98,-20.09]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=按裸校名检索院校信息 & sig=True
界面线·启动翻译工具或查询英汉词句,"18.4%→5.59%，Δ=-12.82pp [-14.37,-10.92]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=启动翻译工具或查询英汉词句 & sig=True
界面线·查询汉字或词语读音,"13.42%→1.4%，Δ=-12.02pp [-12.92,-10.80]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=查询汉字或词语读音 & sig=True
界面线·完成中小学学科作业与写作任务,"1.3%→12.22%，Δ=+10.92pp [+8.88,+13.29]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=完成中小学学科作业与写作任务 & sig=True
界面线·导航至官方招考政务门户与登录入口,"4.25%→0.12%，Δ=-4.13pp [-4.56,-3.47]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=导航至官方招考政务门户与登录入口 & sig=True
界面线·了解专业培养内容与就业前景,"2.96%→0.23%，Δ=-2.72pp [-3.11,-2.03]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=了解专业培养内容与就业前景 & sig=True
界面线·查询汉字笔顺写法,"2.49%→0.0%，Δ=-2.49pp [-2.82,-1.96]，kind=receded",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=查询汉字笔顺写法 & sig=True
界面线·进入高校官网及校内业务平台,"2.19%→0.12%，Δ=-2.08pp [-2.40,-1.47]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=进入高校官网及校内业务平台 & sig=True
界面线·查询录取分数线与录取数据,"2.34%→0.47%，Δ=-1.88pp [-2.30,-1.10]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=查询录取分数线与录取数据 & sig=True
界面线·判定高校办学层次与标签,"1.86%→0.12%，Δ=-1.75pp [-2.05,-1.15]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=判定高校办学层次与标签 & sig=True
界面线·生成生字组词,"1.64%→3.26%，Δ=+1.62pp [+0.59,+3.05]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=生成生字组词 & sig=True
界面线·查询考试成绩与出分动态,"1.03%→0.0%，Δ=-1.03pp [-1.25,-0.55]，kind=receded",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=查询考试成绩与出分动态 & sig=True
界面线·查询词语或成语释义,"2.07%→1.05%，Δ=-1.03pp [-1.60,-0.06]，kind=stable",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_top & label=查询词语或成语释义 & sig=True
界面线里与日历混淆的类合计占 2026 搜索,14.64%（招考门户+专业前景+校内平台+分数线+层次判定+出分动态 6 类）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"t=df[df.source=='2026search']；t.td_l1_name.isin([导航至官方招考政务门户与登录入口,了解专业培养内容与就业前景,进入高校官网及校内业务平台,查询录取分数线与录取数据,判定高校办学层次与标签,查询考试成绩与出分动态]).mean()"
升学季敏感类合计占 2026 搜索,39.66%（上述 6 类 + 按裸校名检索院校信息 + 进行升学与择校志愿决策咨询）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,同法，8 个 label 的 isin().mean()
中小学字词族合计占 2026 搜索,24.82%（读音+古诗文+笔顺+词义+组词+结构列举）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,同法，6 个 label 的 isin().mean()
助手头部 ≤2 字行的行占比与流量占比,39.2%（337/859）行；53.5% 的 search_num,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,t=df[df.source=='assistant_top']；L=query.str.len()；(L<=2).mean()=0.3923；t.pv_raw[L<=2].sum()/t.pv_raw.sum()=0.5350
助手头部残余类里 search_num 最高的 20 条串（真实前 20）,价格24821/我24102/答案19353/这是谁13558/你11103/这个10162/I don't know10033/拼音9099/怎么写7938/换6455/一5134/有4597/批注4007/那个3838/简写3733/解答3711/怎么写？3605/简化3604/缩短3549/人生感悟的句子3461。21-25 名：不要3420/不知道3208/简洁3134/拼豆图纸3076/简单3026,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='assistant_top')&(td_l1_name=='无意图或上下文依赖的残余查询')].nlargest(25,'pv_raw')[['query','pv_raw']]，前 20 名原样列出、21-25 名附后。旧稿此处写 nlargest(20) 但实际是筛选过的列表：跳过了第 7 名 I don't know、第 17 名 怎么写？、第 20 名 人生感悟的句子、第 22 名 不知道、第 24 名 拼豆图纸，用第 21/23/25 名补位。其中 人生感悟的句子 与 拼豆图纸 是实质内容请求而非续轮指令，故结论只能写成'以续轮指令为主'"
助手头部残余在统一13类下的分布,无法判定53.6%(285)/裸实体16.9%(90)/会话与系统指令13.5%(72)/获取现成内容3.9%(21)/导航直达3.6%(19)/清单与推荐3.0%(16)/生成与编辑2.8%(15)，合计532,analysis/pooled5/work/教育/vs_unified_crosstab_by_source.csv,筛 source=assistant_top & td_l1_name=无意图或上下文依赖的残余查询，各 U 列除以该行合计 532。U 码对应名见 analysis/pooled5/p5_vs_unified.py 的 UNAME 字典（U01导航直达…U13无法判定），并已用 2026search 的列和/9981 与 vs_unified_shares.csv 的 share 逐项核对一致
助手头部残余落进实质类目的比例,32.9%（532−285−72=175）,analysis/pooled5/work/教育/vs_unified_crosstab_by_source.csv,同上行：(532 − U13 285 − U11 72)/532
助手头部翻译类真实例子,翻译59254 / S26963 / 翻译一下16322 / 翻译成中文7357 / My god2843,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='assistant_top')&(td_l1_name=='启动翻译工具或查询英汉词句')].nlargest(5,'pv_raw')"
助手头部读音类真实例子（全部无宾语）,怎么读10383 / 怎么读？3958 / 读音3389 / 这个字怎么读839 / 念什么699（该类仅 12 行）,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,同法，td_l1_name=='查询汉字或词语读音'，len=12
2026 搜索读音类真实例子（字在 query 里）,昱怎么读音7129 / 煜怎么读音6207 / 夯怎么读音5183 / 於怎么读音5053 / 笃怎么读音4785,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='2026search')&(td_l1_name=='查询汉字或词语读音')].nlargest(5,'pv_raw')"
深度线·无意图或上下文依赖的残余查询,"61.93%→40.0%，Δ=-21.93pp [-26.34,-17.40]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=无意图或上下文依赖的残余查询 & sig=True
深度线·完成中小学学科作业与写作任务,"12.22%→24.43%，Δ=+12.21pp [+8.70,+15.67]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=完成中小学学科作业与写作任务 & sig=True
深度线·进行升学与择校志愿决策咨询,"3.14%→7.32%，Δ=+4.18pp [+2.15,+6.23]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=进行升学与择校志愿决策咨询 & sig=True
深度线·查询职业资格与成人学历提升,"0.58%→3.51%，Δ=+2.92pp [+1.67,+4.32]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=查询职业资格与成人学历提升 & sig=True
深度线·生成生字组词,"3.26%→0.62%，Δ=-2.64pp [-4.09,-1.41]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=生成生字组词 & sig=True
深度线·了解专业培养内容与就业前景,"0.23%→2.27%，Δ=+2.04pp [+1.06,+3.19]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=了解专业培养内容与就业前景 & sig=True
深度线·查询词语或成语释义,"1.05%→2.37%，Δ=+1.32pp [+0.10,+2.59]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=查询词语或成语释义 & sig=True
深度线·按结构约束列举字词,"0.47%→1.44%，Δ=+0.98pp [+0.05,+1.98]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=assistant_top & b=assistant_random & label=按结构约束列举字词 & sig=True
助手头部作业类真实例子（只有约束没有题目）,直接给我答案3457/直接出答案3232/脱式计算3189/竖式计算2667/这道题有没有更简单的解法2308/解答题目2213/有没有其他方法解这道题1998/不用方程1973,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='assistant_top')&(td_l1_name=='完成中小学学科作业与写作任务')].nlargest(8,'pv_raw')"
助手随机作业类真实例子（任务说全）,关于暑假的作文600字 / 有没有初一英语自我介绍的范文 / 《目送》龙应台读书笔记600字 / 写一篇四年级上册作文学写读后感350字。以《小王子》感悟为选材，字数要求是300-400，作文体裁是读后感 / 我想对作文《那一次，我长大了》进行个性化编辑,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet,"df[(source=='assistant_random')&(td_l1_name=='完成中小学学科作业与写作任务')].nlargest(10,'pv_raw') 中取 5 条原文，未改写"
助手随机残余在统一13类下的分布,无法判定22.4%(87)/生成与编辑15.5%(60)/事实与数值11.6%(45)/解释与介绍9.3%(36)/会话与系统指令9.3%(36)/清单与推荐7.2%(28)/获取现成内容7.2%(28)/办事与操作5.9%(23)/个案判断与建议5.9%(23)/核实与动态3.4%(13)/裸实体2.1%(8)/违规或灰色内容0.26%(1)/导航直达0.0%(0)，合计388（13 类齐全）,analysis/pooled5/work/教育/vs_unified_crosstab_by_source.csv,筛 source=assistant_random & td_l1_name=无意图或上下文依赖的残余查询，各 U 列除以 388
助手随机残余落进实质类目的比例,68.3%（388−87−36=265），对比助手头部 32.9%,analysis/pooled5/work/教育/vs_unified_crosstab_by_source.csv,(388 − U13 87 − U11 36)/388
"残余里""家长/学业处境""真实例子",分班考核成绩会影响孩子分班吗 / 一年级阳光分班，哪个班级更好 / 小学每个学期都在更换老师和班主任怎么解决 / 如何判断孩子是否被孤立或欺凌 / 孩子觉得压力大，家长该如何开导 / 3+2和特色班哪个更适合我,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/sva2026/work,"按 p5_vs_unified.py 的 umap() 把 U 码回贴到逐行 parquet（label_full/unique_labels.parquet 与 label_search10k/labels.parquet 按 query 去重合并取 u_ds），再筛 source=assistant_random & td_l1_name=残余 & u∈{U07,U06}"
"残余里""校历与学校事务性事实""真实例子",定州市中小学2026放假时间表 / 2027年长沙市小学初中报名时间表 / 乐陵一中高二2026年秋季学期开学日期是多少 / 2026年华中科技大学临床医学专业什么时候放寒假 / 猿辅导直播课怎么收费,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/sva2026/work,同上，筛 u==U03
"残余里""文本创作与改写""真实例子","能再给我几个童真的唯美句子吗 / 我爱什么因为它什么仿写句子 / 用简短唯美短句描述楼兰博物馆外景景色 / 乌云翻滚城市上空的短文，50字 / 你我隔着山川遥望的漫天星迹 后来尽凝眼底,只剩默契把第一句修改一下（39 字，带原文的改写请求）。旧稿第 5 条写作""把第一句修改一下""，该串在 parquet 里不存在，是上述真实行的结尾 7 字",analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/sva2026/work,同上，筛 u==U10
残余里跨域漏入的真实例子,海钓用什么钩最不容易跑鱼 / 翻新的床铺材质对承重有影响吗 / 做基础碰到地下水位高，旁边又是建筑物基础怎么办,analysis/pooled5/deliverables/教育_pooled5_labeled.parquet + analysis/sva2026/work,"同上，筛 u∈{U06,U07} 后人工挑出与教育无关的行"
界面+深度线·无意图或上下文依赖的残余查询,"11.77%→40.0%，Δ=+28.23pp [+25.12,+31.40]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=无意图或上下文依赖的残余查询 & sig=True
界面+深度线·完成中小学学科作业与写作任务,"1.3%→24.43%，Δ=+23.13pp [+20.52,+25.94]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=完成中小学学科作业与写作任务 & sig=True
界面+深度线·按裸校名检索院校信息,"21.48%→1.03%，Δ=-20.45pp [-21.39,-19.28]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=按裸校名检索院校信息 & sig=True
界面+深度线·启动翻译工具或查询英汉词句,"18.4%→5.88%，Δ=-12.53pp [-14.05,-10.71]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=启动翻译工具或查询英汉词句 & sig=True
界面+深度线·查询汉字或词语读音,"13.42%→1.24%，Δ=-12.18pp [-13.04,-11.06]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=查询汉字或词语读音 & sig=True
界面+深度线·导航至官方招考政务门户与登录入口,"4.25%→0.1%，Δ=-4.14pp [-4.57,-3.53]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=导航至官方招考政务门户与登录入口 & sig=True
界面+深度线·进行升学与择校志愿决策咨询,"3.54%→7.32%，Δ=+3.78pp [+2.26,+5.63]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=进行升学与择校志愿决策咨询 & sig=True
界面+深度线·查询职业资格与成人学历提升,"1.16%→3.51%，Δ=+2.34pp [+1.33,+3.71]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2026search & b=assistant_random & label=查询职业资格与成人学历提升 & sig=True
升学决策类在两条线上的方向（并非唯一如此的类）,"界面线 3.54%→3.14%（不显著）；深度线 3.14%→7.32%（+4.18pp 显著）；界面+深度 3.54%→7.32%（+3.78pp 显著）。在深度线与界面+深度线上同时显著为正的共 4 类：作业(+12.21/+23.13)、升学决策(+4.18/+3.78)、职业资格(+2.92/+2.34)、结构列举(+0.98/+0.95)；其中后三类形态完全相同（界面线不显著为负）。故""唯一""不成立",analysis/pooled5/work/教育/diffs_td_l1_name.csv,三对 a/b 下 label=进行升学与择校志愿决策咨询 的行；界面线该行 sig=False
