domain,source,core,query,added_chars,core_td,wrap_td,same_intent
金融,assistant_top,农业银行,农业银行股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,农业银行,农业银行自动扣钱18元,7,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行账户余额200可用余额0是什么,15,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行账户余额不足什么意思,10,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行账户余额为零原因,8,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,农业银行,农业银行账户余额为零可能原因,10,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行账户余额和可用余额区别在哪,13,其他或无法判定的非金融查询,解释金融术语与基础规则,False
金融,assistant_top,农业银行,农业银行账户正常余额为零,8,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,农业银行,农业银行账户被冻结账户余额为0,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农商银行,农商银行破产贷款怎么办,7,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,农商银行,农商银行破产贷款怎么办,7,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,农商银行,农商银行解散了钱没到期怎么办,10,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,手机银行,农行手机银行app,5,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,创业板,创业板指数,2,解释金融术语与基础规则,查询金融资产实时行情,False
金融,assistant_top,人民币,加币兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,北交所,北交所打新中签率大概是多少,10,查询金融资产实时行情,其他或无法判定的非金融查询,False
金融,assistant_top,华电辽能,华电辽能股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,卢布汇率,卢布汇率人民币,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,台币兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,存款利率,哪个银行的存款利率最高,7,解释金融术语与基础规则,比较同类金融产品并择优,False
金融,assistant_top,存款利率,哪家银行的存款利率最高,7,解释金融术语与基础规则,比较同类金融产品并择优,False
金融,assistant_top,国际复材,国际复材股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,国际实时金价,国际实时金价大盘,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,国际油价,国际油价未来走势如何,6,查询金融资产实时行情,查询历史价格走势图,False
金融,assistant_top,国际金价,国际金价24小时实时行情,8,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,国际金价,国际金价未来走势如何,6,查询金融资产实时行情,查询历史价格走势图,False
金融,assistant_top,黄金今日金价,国际黄金今日金价,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格,国际黄金价格,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,多少人民币,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,大地保险,大地保险app下载安装,7,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,天通股份,天通股份股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,如何查询个人征信,如何查询个人征信报告,2,获取银行或支付账户操作指引,获取银行或支付账户操作指引,True
金融,assistant_top,宇树科技股票,宇树科技股票今日行情,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,宇树科技股票,宇树科技股票怎么买,3,查询金融资产实时行情,获取银行或支付账户操作指引,False
金融,assistant_top,金价行情,实时金价行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,山东黄金,山东黄金股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,工商银行,工商银行42821交易失败,9,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行95588主动来电一般都是什么,15,其他或无法判定的非金融查询,识别陌生电话号码归属,False
金融,assistant_top,工商银行,工商银行95588短信提醒怎么开通,13,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,工商银行,工商银行9920冻结会自动解除吗,12,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行9920只收不付,8,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行9920只收不付可以取现吗,13,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行9920可以柜台转账吗,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行9920能收款吗怎么查,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行9920能自动解冻吗,10,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行app,3,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,工商银行,工商银行不够300,5,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,工商银行,工商银行不满300是不是要扣钱,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行不足300每个月扣钱么,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行交易失败41597怎么回事,13,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行交易失败42821,9,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行会通过95588催款吗,11,其他或无法判定的非金融查询,识别陌生电话号码归属,False
金融,assistant_top,工商银行,工商银行动不动就信使费支出,9,其他或无法判定的非金融查询,判定信贷产品账单与征信规则,False
金融,assistant_top,工商银行,工商银行动账提醒收费吗,7,其他或无法判定的非金融查询,判定信贷产品账单与征信规则,False
金融,assistant_top,工商银行,工商银行协商还款最长多少期,9,其他或无法判定的非金融查询,判定信贷产品账单与征信规则,False
金融,assistant_top,工商银行,工商银行卡9920能柜台取现吗,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行卡余额不足300,8,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行卡余额不足扣不了管理费怎么办,14,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行卡扣费 30 元余额不足会怎样,15,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行卡扣费30元,6,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行手机app显示4318,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行收了2000后拒绝交易,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行电话,2,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,工商银行,工商银行股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,工商银行,工商银行转账提示4972,8,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行转账显示 1072,9,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,工商银行,工商银行转账显示1072,8,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行转账显示1072怎么回事,12,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,工商银行,工商银行转账显示成功却没有到账,11,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,工商银行,工商银行转账短信,4,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,市盈率,市盈率什么意思,4,查询金融资产实时行情,解释金融术语与基础规则,False
金融,assistant_top,平安保险,平安保险客服电话,4,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,平安保险,平安保险车险,2,查找官方渠道与客服入口,其他或无法判定的非金融查询,False
金融,assistant_top,平安保险,平安保险雇主责任险,5,查找官方渠道与客服入口,解释金融术语与基础规则,False
金融,assistant_top,平安车险,平安车险app官方版,6,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,平安车险,平安车险在线投保官网,6,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,平安车险,平安车险电话,2,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,平潭发展,平潭发展股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,广发证券,广发证券官网,2,查询金融资产实时行情,查找官方渠道与客服入口,False
金融,assistant_top,度小满,度小满金融,2,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,度小满金融,度小满金融app下载,5,核实金融平台真伪与合法性,查找官方渠道与客服入口,False
金融,assistant_top,度小满金融,度小满金融正规合法吗,5,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,建设银行,建设银行电话,2,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,德明利,德明利股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,怎么开户,怎么开户教程,2,获取银行或支付账户操作指引,获取银行或支付账户操作指引,True
金融,assistant_top,房地产板块,房地产板块多股一字涨停,6,查询金融资产实时行情,获取市场动态与事件公告,False
金融,assistant_top,拍拍贷,拍拍贷借款平台,4,其他或无法判定的非金融查询,核实金融平台真伪与合法性,False
金融,assistant_top,招商银行,招商银行客服电话,4,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,招商银行,招商银行股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,换算成人民币,3,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,支付宝,支付宝下载,2,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,支付宝下载,支付宝下载安装,2,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,支付宝,支付宝答题答案,4,其他或无法判定的非金融查询,获取每日答题活动答案,False
金融,assistant_top,支付宝,支付宝转账,2,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,人民币,新加坡币兑换人民币,6,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,新币兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,新款人民币100元是什么样,10,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,日元人民币,日元人民币换算,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,日元人民币,日元人民币汇率,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,日元兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,日元换算,日元换算人民币,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,日元汇率,日元汇率人民币,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,昊华科技,昊华科技股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,中国股市行情,明天中国股市行情预测,4,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,易享花,易享花是什么平台的,6,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,易宝支付,易宝支付北海云华扣29.9,9,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,星宇股份,星宇股份 股票,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,星宇股份,星宇股份简介,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,星宇股份,星宇股份股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,星宇股份,星宇股份跌停原因,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,杭电股份,杭电股份实时股价是多少？,8,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,杭电股份,杭电股份股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,欧元人民币,欧元人民币汇率,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,欧元兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,比特币,比特币价格,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,比特币,比特币是什么意思,5,查询金融资产实时行情,解释金融术语与基础规则,False
金融,assistant_top,比特币最新价格,比特币最新价格走势,2,查询金融资产实时行情,查询历史价格走势图,False
金融,assistant_top,比特币,比特币未来有上涨空间吗,8,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,比特币,比特币的最新价格,5,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,比特币美元,比特币美元行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,比特币,比特币行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,比特币,比特币走势图k线,5,查询金融资产实时行情,查询历史价格走势图,False
金融,assistant_top,大盘指数,沪指大盘指数,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,股市实时行情,沪深股市实时行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,大盘指数,沪深行情大盘指数,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,沪电股份,沪电股份股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,白银期货,沪铜沪铝黄金白银期货今日铜价行情,12,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,港币人民币兑换,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,港币兑人民币,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,港币兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,港币和人民币兑换,5,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,人民币汇率,港币对人民币汇率,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金股票,湖南黄金股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,澳元兑人民币,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,澳元兑换人民币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,科创板,现在是2026年8月27日晚根据国外形势国内政策及当下A股市场情况 采用如AI技术工具八步算法科学投资工具等多种方法 再结合外资机构游资主力国家队等资金流向 给我A股中 1只唯一低位有业绩 有最大上涨空间 攻击力最强 今天即刻建仓 后面会能大幅度爆涨盈利 可长期持仓的优质股 （不要己涨停的不要科创板的） 谢谢🙏🙏,154,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,科创板,现在是2026年8月28日根据国外形势国内政策及当下A股市场情况 采用如AI技术工具八步算法科学投资工具等多种方法 再结合外资机构游资主力国家队等资金流向 给我A股中 1只唯一低位有业绩 有上涨空间 攻击力最强 今天即刻建仓 后面会能大幅度爆涨盈利 可长期持仓的唯一优质股 （不要科创板的） 谢谢🙏🙏,147,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,黄金多少钱一克,现在黄金多少钱一克？,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日银价,白银今日银价,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,白银价格,白银价格未来走势如何,6,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,人民币,等于多少人民币,4,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,纳斯达克,纳斯达克100,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,纳斯达克,纳斯达克指数,2,查询金融资产实时行情,查询金融资产实时行情,True
